Injuries1 in CCL Investigations2 Sustained in Day Care Centers and Homes,,,,,,,,,,,,,,,,
"July 01, 2017 - July 31, 2018",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Operation Type3,Operation Number,Operation Name ,Impact Case ID,Impact Stage ID,Class Investigation ID,CLASS Investigaion Number,Date Intake Received ,Date Investigation Completed,Injury,Injury Related to Abuse/Neglect,Injury Determination,Type of Injury,Other Type of Injury,Injury Caused By,Injury Related To,Incident Location
Licensed Center,827012,Nazarene Kids Korner,45849688,69747184,1576481,2390584,11/17/2017,12/15/2017,Y,Y,Serious,Internal,,Other,,Child in care at the operation
Licensed Center,856207-747,KinderCare Learning Center,,,1576893,2390619,11/17/2017,12/11/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,876862,Carrollton Farmers Branch ISD Employee Daycare Academy,,0,1576438,2390635,11/17/2017,1/12/2018,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,899888-6211,Campus Kids @ Frank Elementary,,0,1576373,2390586,11/17/2017,12/15/2017,Y,N,Serious,Other,Boken collarbone,Self-Inflicted,Child tripped and fell.,Child in care at the operation
Licensed Center,903690,Sonshine School,,,1576364,2390555,11/17/2017,12/5/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1661436,Adventure Kids Playcare,,0,1576602,2390983,11/18/2017,1/5/2018,Y,N,Non-Serious,Contusion,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,538878,NV Kids Academy,45856668,69758600,1576613,2391242,11/18/2017,1/13/2018,Y,N,Serious,Burn,,Other,,Child in care at the operation
Licensed Center,1021766,Whitt Early Childhood Learning Center,,,1576480,2390765,11/19/2017,1/17/2018,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,Child Tripped on the rug and hit her head on the floor,Child in care at the operation
Licensed Center,133997,ST Bernadette Pre School,45857593,,1576537,2391313,11/19/2017,12/18/2017,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,537655-1967,Stepping Stone School X,,0,1576500,2390785,11/19/2017,12/18/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,823342,Luv'Em&Leave'Em Professional Learning Center Inc,45856977,69758565,1576568,2391272,11/19/2017,12/11/2017,Y,N,Non-Serious,Other,scrape,Outdoor Equipment/Structure,cement ground,Child in care at the operation
Licensed Center,1060730,"The Children's Garden, A Place to Bloom",,,1576611,2391560,11/20/2017,11/21/2017,Y,N,Non-Serious,Contusion,,Outdoor Equipment/Structure,step or concrete,Child in care at the operation
Licensed Center,1180306,The Learning Zone,,0,1576552,2391444,11/20/2017,12/18/2017,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1213206,Purefoy Elementary Alphabest,,0,1576659,2391646,11/20/2017,12/20/2017,Y,N,Serious,Other,sprain,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1349326,Shields After The Bell,,,1576617,2391659,11/20/2017,12/6/2017,Y,N,Serious,Fracture,,Indoor Equipment/Structure,sports balls,Child in care at the operation
Licensed Center,1521179,Learning With Grace Educational Child Care,,0,1576588,2391336,11/20/2017,12/13/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,1527892,Charisma Bundle of Joy Learning Center,45861692,69760960,1576649,2391564,11/20/2017,12/19/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,1527892,Charisma Bundle of Joy Learning Center,,,1576575,2391442,11/20/2017,12/19/2017,Y,N,Non-Serious,Other,bite marks,Other,,Child in care at the operation
Licensed Center,1591997,Primrose School of Atascocita,45863009,,1576604,2391630,11/20/2017,1/18/2018,Y,N,Non-Serious,Other,bite,Other,,Child in care at the operation
Licensed Center,1632874,Little Treehouse Early Learning Center #6,,0,1576569,2391548,11/20/2017,12/6/2017,Y,N,Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1662781,Nurturing Child Care Centers,45863908,0,1576651,2391662,11/20/2017,12/19/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care away from the operation
Licensed Center,223662-5032,Wilbarger Co Preschool Center,,,1577288,2391330,11/20/2017,12/5/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,226222,First United Methodist Preschool,,,1576608,2391633,11/20/2017,1/18/2018,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,24747,Elgin Park Neighbor Center,45864348,,1576677,2391897,11/20/2017,11/29/2017,Y,N,Non-Serious,Other,bruises/cuts,Self-Inflicted,rough playing,Child in care at the operation
Licensed Center,34321-1346,Little Tyke - Richland Hills,,,1576592,2391526,11/20/2017,1/18/2018,Y,N,Non-Serious,Other,Small cut on forehead,Other,,Child in care at the operation
Licensed Center,838594,Ferris Christian Academy,,,1576612,2391592,11/20/2017,12/14/2017,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,845303,Primrose School of Hall Johnson,,0,1576591,2391479,11/20/2017,1/18/2018,Y,N,Non-Serious,Other,Nursemaids Elbow,Other,,Child in care at the operation
Licensed Center,851565-1427,YMCA-Rutledge,,0,1576642,2391732,11/20/2017,12/6/2017,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,low barrier surrounding swing set area,Child in care at the operation
Licensed Center,857700-3770,Day Nursery of Abilene Vine Street Center,,,1576574,2391426,11/20/2017,12/18/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,881208-1967,Stepping Stone School XV,45861592,,1576598,2391558,11/20/2017,1/18/2018,Y,N,Non-Serious,Other,bump,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,902040,Stepping Stone Preschool,,0,1576573,2391452,11/20/2017,12/5/2017,Y,N,Serious,Other,Cut ,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,905017,Grace Crossing Academy,,,1576559,2391497,11/20/2017,1/9/2018,Y,N,Non-Serious,Contusion,,Indoor Equipment/Structure,Hit head on corner of wall,Child in care at the operation
Licensed Center,1201366,B&C Advance Learning Center,45871648,69772923,1576755,2392174,11/21/2017,1/18/2018,Y,Y,Serious,Brain,,Other,,Child in care at the operation
Licensed Center,1221926,Powersports,,,1576711,2392116,11/21/2017,1/8/2018,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1522174-2729,Katy Family YMCA at McNeill,45872493,,1576745,2392249,11/21/2017,12/20/2017,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1551246-1029,Seminole Head Start/Early Head Start,,,1576749,2392098,11/21/2017,1/19/2018,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1627439,Xplor,,,1576722,2392112,11/21/2017,12/12/2017,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,167865-1346,Little Tyke - Smithfield RD,,0,1576878,2392054,11/21/2017,12/5/2017,Y,N,Non-Serious,Other,Nurse maid's elbow,Other,,Child in care at the operation
Licensed Center,502062,Joanns Day Care and Camp,,,1576709,2392087,11/21/2017,11/22/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,Rock thrown.,Child in care at the operation
Licensed Center,521111,Footsteps & Fingerprints,,0,1576694,2391755,11/21/2017,1/17/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,544616,Bent Tree Day School,45865420,69764648,1576650,2391774,11/21/2017,1/12/2018,Y,N,Serious,Fracture,,Other,,Child in care away from the operation
Licensed Center,5910-667,Mary Miles Learning Center,,0,1576698,2392063,11/21/2017,1/19/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,819004-1967,Stepping Stone School XII,,,1576672,2392020,11/21/2017,11/27/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,887708,"Barton Creek Child Development Infant Center, Inc.",45871959,69771530,1576724,2392139,11/21/2017,12/20/2017,Y,N,Non-Serious,Burn,,Self-Inflicted,Hot water spilled,Child in care at the operation
Licensed Center,893116,Rosanna Brown LLC dba God's Little Angels,45869008,0,1576700,2392037,11/21/2017,1/11/2018,Y,N,Non-Serious,Other,"scratches, bruises",Indoor Equipment/Structure,outdoor ground,Child in care at the operation
Licensed Center,902040,Stepping Stone Preschool,45868168,69767668,1576728,2392011,11/21/2017,12/18/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,99,Cliff Temple Child Development,,,1576894,2391795,11/21/2017,12/11/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,1080246,Kid Spa Austin,,0,1576911,2392543,11/22/2017,12/20/2017,Y,N,Non-Serious,Other,eyebrow cut,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1239366,Kids Campus And Daycare,,,1576757,2392258,11/22/2017,11/29/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Other,,Child in care at the operation
Licensed Center,1239366,Kids Campus And Daycare,,,1576757,2392258,11/22/2017,11/29/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,1544397,Primrose School of Rockwall,,,1576763,2392275,11/22/2017,12/4/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1628185,Xplor Anderson Mill,,0,1576879,2392541,11/22/2017,12/6/2017,Y,N,Non-Serious,Contusion,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1632874,Little Treehouse Early Learning Center #6,45875373,69773464,1576762,2392282,11/22/2017,1/29/2018,Y,Y,Serious,Other,Allergic Reaction,Other,,Child in care at the operation
Licensed Center,1634425,The Lighthouse School,,,1576729,2392205,11/22/2017,12/8/2017,Y,N,Non-Serious,Other,Bump on the eye that led to a slight concussion.,Other,,Child in care at the operation
Licensed Center,1639988,Treehouse Learning Center,45877446,69779628,1576897,2392498,11/22/2017,12/20/2017,Y,N,Non-Serious,Other,thigh bruise,Self-Inflicted,child fell down,Child in care away from the operation
Licensed Center,196747,Eisenhauer Baptist School and Daycare,,,1576759,2392265,11/22/2017,12/21/2017,Y,N,Serious,Fracture,,Indoor Equipment/Structure,Carpet and fall of another child,Child in care at the operation
Licensed Center,241778-5531,YWCA MacGuire Early Learning Academy,,0,1576960,2392296,11/22/2017,12/8/2017,Y,N,Non-Serious,Contusion,,Other,,Child in care at the operation
Licensed Center,24747,Elgin Park Neighbor Center,,,1576764,2392197,11/22/2017,12/19/2017,Y,N,Non-Serious,Other,minor swollen nose,Self-Inflicted,fall,Child in care at the operation
Licensed Center,310158-684,La Petite  Academy TXMC 0904,,0,1576885,2392271,11/22/2017,12/7/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,fell off bike,Child in care at the operation
Licensed Center,853641,Little Britches,45877349,69787839,1576923,2392722,11/22/2017,1/23/2018,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,862892,Around The Clock Child Development Center,,,1576778,2392308,11/22/2017,1/3/2018,Y,N,Non-Serious,Other,child in care had a seizure,Other,,Child in care at the operation
Licensed Center,1617382,"Junior Buckaroo Academy, LLC",,,1576891,2392545,11/24/2017,12/6/2017,Y,N,Non-Serious,Other,Knot,Self-Inflicted,Temper Tantrum,Child in care at the operation
Licensed Center,1351187,Adventure Kids Playcare,,0,1576958,2393371,11/27/2017,12/11/2017,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1520783,Pre-K 4 SA - North Education Center,,,1576962,2393376,11/27/2017,12/18/2017,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1623261,Early Learning Center,45887688,69788751,1576933,2393280,11/27/2017,12/22/2017,Y,N,Non-Serious,Contusion,,Other,,Child in care away from the operation
Licensed Center,1649375,The PREP School of Stone Oak,,0,1577065,2393022,11/27/2017,12/18/2017,Y,N,Serious,Mouth/Eye/Ear,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,226222,First United Methodist Preschool,,,1577012,2393408,11/27/2017,1/25/2018,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,532679,Country Kids,,0,1577701,2393516,11/27/2017,12/18/2017,Y,N,Non-Serious,Other,Gash on scap,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,533059,Daisy Hill Academy,,,1576997,2393259,11/27/2017,1/12/2018,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,53391,Methodist Childrens Center of Athens First United Methodist,,,1577009,2393389,11/27/2017,1/22/2018,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,541518-5031,YMCA Youth Center,,,1576961,2392803,11/27/2017,12/21/2017,Y,N,Non-Serious,Other,bit by praire dog,Other,,Child in care away from the operation
Licensed Center,817622,Play Palace,,,1576934,2393331,11/27/2017,1/23/2018,Y,N,Serious,Other,Febrile Seizure,Other,,Child in care at the operation
Licensed Center,818709,Excelsior University for Children,,,1577000,2393427,11/27/2017,12/27/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,822346,Lighthouse Rescue Mission Church,,0,1577123,2393758,11/27/2017,12/5/2017,Y,Y,Serious,Contusion,,Discipline,hitting with yard stick and holding arms,Child in care at the operation
Licensed Center,877886,Kids R Kids #50,,,1576977,2393248,11/27/2017,12/1/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1038106,St. John's Episcopal School,,,1577117,2393823,11/28/2017,12/22/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,falling on to a toy,Child in care at the operation
Licensed Center,1110286,"Unique Individuals, LLC",45897450,69796430,1577067,2393798,11/28/2017,12/22/2017,Y,N,Non-Serious,Other,swelling in elbow and wrist,Other,,Child in care at the operation
Licensed Center,148568,Oak Forest Montessori School,,,1577209,2393689,11/28/2017,12/11/2017,Y,N,Serious,Mouth/Eye/Ear,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1498418-11191,Kendall County Head Start,,,1577264,2393757,11/28/2017,1/11/2018,Y,N,Non-Serious,Contusion,,Other,,Child in care at the operation
Licensed Center,1500758,Primrose School Of League City At Victory Lakes,,0,1577069,2393769,11/28/2017,12/22/2017,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,Cement area,Child in care at the operation
Licensed Center,1560347,Elite City Kids Childcare & Learning Academy,45899668,69799462,1577121,2393932,11/28/2017,12/29/2017,Y,N,Non-Serious,Burn,,Tools/Equipment,Bottle Warmer,Child in care at the operation
Licensed Center,1562922,The Pineapple School at Stone Oak,,0,1577299,2393837,11/28/2017,12/18/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1577882,Kids Are First (KAF) Head Start - Carrizo Springs,,,1577128,2393648,11/28/2017,1/18/2018,Y,N,Non-Serious,Other,Bruise/red mark,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1627449,Xplor,,,1577118,2393683,11/28/2017,1/3/2018,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,516853-810,Childrens Courtyard,45894791,69793840,1577031,2393667,11/28/2017,12/27/2017,Y,N,Non-Serious,Contusion,,Other,,Child in care away from the operation
Licensed Center,537634,Grace Point Daycare and Preschool,,0,1577071,2393721,11/28/2017,12/19/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,853536-9871,Kingsville Child Development Center,,0,1577162,2394196,11/28/2017,1/26/2018,Y,N,Non-Serious,Other,Child re-opened a wound on his head.,Self-Inflicted,Child tripped while outside.,Child in care at the operation
Licensed Center,857700-3770,Day Nursery of Abilene Vine Street Center,45893568,,1577022,2393584,11/28/2017,12/18/2017,Y,N,Non-Serious,Other,bite mark/bruise on arm,Other,,Child in care at the operation
Licensed Center,858423,Rayito de Sol,,,1577064,2393768,11/28/2017,12/4/2017,Y,N,Non-Serious,Other,Small cut and bump to back of the head.,Other,,Child in care at the operation
Licensed Center,1031226-5052,Head Start-Avance San Antonio @ Wright Elementary,,,1577122,2393930,11/29/2017,1/5/2018,Y,N,Non-Serious,Other,nurse maid's elbow,Other,,Child in care at the operation
Licensed Center,114074,Kindercare Learning Center No.266,,,1577195,2394234,11/29/2017,12/12/2017,Y,N,Non-Serious,Other,scrape,Other,,Child in care at the operation
Licensed Center,1349807,Learning Avenue,,,1577692,2396156,11/29/2017,12/5/2017,Y,N,Non-Serious,Other,Bump on Head,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1356447,Veronica's Playhouse,,,1577180,2394150,11/29/2017,11/29/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1481346,UT Elementary YMCA,,,1577213,2394369,11/29/2017,12/20/2017,Y,N,Non-Serious,Contusion,,Outdoor Equipment/Structure,Gate,Child in care at the operation
Licensed Center,1519284,Primrose School of Clear Lake,,,1577157,2394142,11/29/2017,1/25/2018,Y,N,Non-Serious,Other,Broken tooth,Other,,Child in care at the operation
Licensed Center,1531343,For Kids Only Child Learning Center,0,0,1577225,2394417,11/29/2017,12/19/2017,Y,N,Serious,Fracture,slide down to slide and broke collar bone,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1627498,"Prestige Kids Academy, LLC.",,,1577206,2394342,11/29/2017,12/5/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Self-Inflicted,Fell and hit rocking chair.,Child in care at the operation
Licensed Center,1659618,Texas Spanish Academy,,,1577228,2394444,11/29/2017,1/26/2018,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,197626-5531,YWCA Glen Cove After School,,,1577338,2394588,11/29/2017,12/5/2017,Y,N,Non-Serious,Contusion,,Indoor Equipment/Structure,"Kohner tripped on his feet, fell , hitting the back of his head on the floor",Child in care at the operation
Licensed Center,208200-668,Y School Age @ Howard Elementary,,0,1577187,2394117,11/29/2017,12/19/2017,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,244813-825,Adelina Fritz Child Development Center,,,1577129,2393968,11/29/2017,1/17/2018,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,508263,MET Head Start,,,1577135,2394124,11/29/2017,12/1/2017,Y,N,Non-Serious,Other,head injury,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,519956,Flip N Swim,,0,1577260,2394463,11/29/2017,12/15/2017,Y,N,Non-Serious,Contusion,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,520168-1130,Childtime Learning Centers,,,1577139,2393909,11/29/2017,1/11/2018,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,520322-765,Country Home Learning Center 8,45905150,0,1577222,2394321,11/29/2017,12/14/2017,Y,N,Non-Serious,Burn,,Other,,Child in care at the operation
Licensed Center,544756,Centerville Learning Center,45906348,69808116,1577287,2394547,11/29/2017,12/27/2017,Y,N,Non-Serious,Contusion,,Discipline,grasping arm,Child in care at the operation
Licensed Center,60503,Amarillo Montessori Academy,,0,1577185,2394268,11/29/2017,12/28/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,815847,Fredericksburg Community Child Care,,0,1577270,2394267,11/29/2017,1/8/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,856418-1386,KinderCare Learning Center,,0,1577215,2394376,11/29/2017,1/23/2018,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,862074,Weekday Kids at First,,0,1577237,2394126,11/29/2017,12/21/2017,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,871181,A Creative Learning Center LLC,,,1577265,2394373,11/29/2017,12/4/2017,Y,N,Non-Serious,Other,Cut under eye,Other,,Child in care at the operation
Licensed Center,876862,Carrollton Farmers Branch ISD Employee Daycare Academy,,,1577223,2394374,11/29/2017,1/12/2018,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,876862,Carrollton Farmers Branch ISD Employee Daycare Academy,,,1577227,2394377,11/29/2017,1/12/2018,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,906454-668,Y School Age @ Wiederstein Elementary,,,1577268,2394396,11/29/2017,12/12/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1024786-10651,Prime Time YMCA Ella Schorlemmer,,,1577337,2394764,11/30/2017,12/29/2017,Y,N,Non-Serious,Other,broken finger,Self-Inflicted,fall ,Child in care at the operation
Licensed Center,1357986,Childcare Network #196,,,1577309,2394573,11/30/2017,1/25/2018,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,child pushed off slide,Child in care at the operation
Licensed Center,1508681,Primrose School at the Galleria,,,1577301,2394662,11/30/2017,1/26/2018,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,1512886,Children's Learning Adventure Child Care Center,,,1577261,2394462,11/30/2017,12/12/2017,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1520220,Summit Christian Learning Center,,,1577378,2394637,11/30/2017,12/5/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,156402-1967,Stepping Stone School II,,,1577344,2394786,11/30/2017,12/20/2017,Y,N,Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,157181,Tarleton Child Development Center,,,1577391,2394706,11/30/2017,12/8/2017,Y,N,Non-Serious,Contusion,,Indoor Equipment/Structure,room divider,Child in care at the operation
Licensed Center,1586316,The Children's Lighthouse at Two Creeks,,,1577437,2394696,11/30/2017,1/11/2018,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1590036,Imagination Station Child Care Center,45915756,69816279,1577609,2394920,11/30/2017,12/28/2017,Y,N,Non-Serious,Other,Bruise,Other,,Child in care away from the operation
Licensed Center,1627411,Castle Creek Christian Academy,,,1577518,2394785,11/30/2017,12/11/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Other,,Child in care at the operation
Licensed Center,1645513,"Angelic Smiles Day Care Center, LLC",,,1577421,2394867,11/30/2017,12/19/2017,Y,N,Non-Serious,Fracture,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1660235,Childcare Network #307,,0,1577381,2394754,11/30/2017,1/22/2018,Y,N,Non-Serious,Other,broken arm on slide,Other,,Child in care at the operation
Licensed Center,250301,Joe Pinner Branch YMCA,45911049,,1577449,2394727,11/30/2017,12/5/2017,Y,N,Serious,Laceration,,Discipline,child hit his hea don shelf when staff jerked him down- upgraded to A/N,Child in care at the operation
Licensed Center,818407,Greenville Avenue Child Development Center,,0,1577384,2394768,11/30/2017,12/4/2017,Y,N,Non-Serious,Burn,,Other,,Child in care at the operation
Licensed Center,818407,Greenville Avenue Child Development Center,,0,1577384,2394768,11/30/2017,12/4/2017,Y,N,Non-Serious,Burn,,Other,,Child in care at the operation
Licensed Center,819004-1967,Stepping Stone School XII,,,1577286,2394624,11/30/2017,12/6/2017,Y,N,Non-Serious,Other,bleeding from penis,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,827746,Cadence Academy,,0,1577535,2394780,11/30/2017,12/28/2017,Y,N,Non-Serious,Other,Bloody Nose,Other,,Child in care at the operation
Licensed Center,876862,Carrollton Farmers Branch ISD Employee Daycare Academy,,,1577282,2394619,11/30/2017,1/12/2018,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,1255946-9091,Learning Tree Children's Academy,,0,1577604,2395036,12/1/2017,12/21/2017,Y,N,Serious,Other,Concussion,Indoor Equipment/Structure,Floor,Child in care at the operation
Licensed Center,1283246,"Greatest Gifts Daycare Center, LLC",,,1577540,2395114,12/1/2017,12/19/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1479466,The Pillars Christian Learning Center,,,1577407,2394953,12/1/2017,1/29/2018,Y,N,Non-Serious,Other,trigger thumb,Outdoor Equipment/Structure,riding toy,Child in care at the operation
Licensed Center,1525666,Preparatory School of McKinney,,,1577595,2395515,12/1/2017,12/21/2017,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1543107,Explorers Club,,,1577422,2395006,12/1/2017,12/22/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,1553643,Oak Brook School,,,1577442,2395011,12/1/2017,12/14/2017,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1566376,Texas Kids Childcare,,,1577410,2394947,12/1/2017,1/11/2018,Y,N,Non-Serious,Other,bump,Other,,Child in care at the operation
Licensed Center,1628720,Primrose School of College Station,,,1577445,2395102,12/1/2017,1/4/2018,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1634286,Kiddie Academy of Longenbaugh-Cypress,,,1577435,2395044,12/1/2017,12/22/2017,Y,N,Serious,Laceration,,Self-Inflicted,Fall,Child in care at the operation
Licensed Center,1634632,YMCA South Waco Elementary,,0,1577703,2396210,12/1/2017,12/13/2017,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1645102,Kiddie Academy of Aliana,,,1577452,2395123,12/1/2017,12/29/2017,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1658057,Amarillo College MediPark Campus Hagy Center for Young Child,,0,1577428,2394950,12/1/2017,12/20/2017,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,Concrete wall,Child in care at the operation
Licensed Center,1664038,Kids R Kids 54 TX,,,1577424,2394921,12/1/2017,12/27/2017,Y,N,Non-Serious,Fracture,,Indoor Equipment/Structure,Door,Child in care at the operation
Licensed Center,178184,Northwood Presbyterian Day School,,0,1577657,2395078,12/1/2017,12/22/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,234529-750,YWCAre at Wolffarth Elementary,,,1577610,2395043,12/1/2017,1/25/2018,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,556771,Rainbow Connection Daycare,,0,1577592,2394899,12/1/2017,1/16/2018,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,816647-810,Childrens Courtyard,,,1577522,2395012,12/1/2017,12/15/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Outdoor Equipment/Structure,Wood Chips,Child in care at the operation
Licensed Center,864060,Childrens Lighthouse of Mag Creek,,,1577451,2395118,12/1/2017,12/21/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,868553,Little Country Day Care and Preschool,,,1577434,2395032,12/1/2017,12/20/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,
Licensed Center,876510,Northwest Hills Christian School,,0,1577538,2395101,12/1/2017,1/29/2018,Y,N,Non-Serious,Mouth/Eye/Ear,,Other,,Child in care at the operation
Licensed Center,1326607,True Love Childcare,45923829,69825188,1577529,2395273,12/2/2017,12/26/2017,Y,N,Serious,Fracture,,Other,,Child in care at the operation
