STANDARD_NUMBER_DESCRIPTION,2014.0,2015.0,2016.0,2017.0,of_interest
744.3817(b) - Driver Has Current Driver's License and Carries While Transporting Children,0,0,0,1,False
744.401(10) - Posting Requirements - Any other Licensing notices with specific instructions to post,0,0,0,1,False
749.1003(b)(5)(B) - Children's rights-Adhere to the child's rights to be free from being subjected to corporal punishment,0,3,5,1,False
"749.1003(b)(4)(A) - Children's rights-Adhere to the child's rights to be free from any harsh, cruel, unusual, unnecessary, demeaning, or humiliating punishment",0,0,0,1,False
"749.1003(b)(3)(O) - Children's rights-Adhere to child's right to not be pressured to get abortion, give up her child for adoption, or parent her child",0,0,0,1,False
749.1003(b)(3)(I) - Children's rights-Adhere to the child's right to have personal possessions at his home and to acquire additional possessions within limits,0,0,0,1,False
749.1003(b)(3)(C) - Children's rights - Adhere to the child's right to have religious needs met,0,0,0,1,False
749.1003(b)(2) - Children's rights-Adhere to the child's right to maintain regular contact with his family unless not in the child's best interest,0,0,0,1,False
747.1107(a)(2) - Primary Caregiver in Licensed Home Qualifications - HS Diploma/ or equivalent,0,0,4,1,False
749.1007(a) - Child Rights education-Child receives appropriate education in educational/vocational program in the most appropriate and least restrictive setting,0,0,0,1,False
746.2607(10) - Activities for Pre-Kindergarten Age - Includes Supervised Naptimes,0,1,1,1,False
"749.1003(b)(10) - Children's rights-Adhere to the child's right to have appropriate equipment and supplies for, and training in, personal care, hygiene, and grooming",0,0,4,1,False
749.1003(b)(1)(C) - Children's rights-Safety & care including right to fair treatment,0,0,0,1,False
749.1003(b)(1) - Children's rights-Adhere to the child's rights to appropriate care and treatment in least restrictive setting available that meets the child's needs,0,1,0,1,False
749.1003(a) - Children's rights-A child's rights are cumulative of any other rights granted by law or other Licensing rules,0,0,0,1,False
746.2605(4) - Furnishings and Equipment for Pre-Kindergarten Age - Accessible to Children,0,0,0,1,False
"748.983(a) - First-aid-CPR renewal-Each caregiver must complete any new first-aid training, as required to maintain a current certification",0,0,2,1,False
747.1207(1) - Minimum Qualifications for Assistant Caregiver - 18 years old,1,0,1,1,False
"748.981(b)(1) - First-aid-CPR training-At all times, at least one caregiver counted in child/caregiver ratio must have current certification in CPR",0,0,1,1,False
747.1207(5) - Minimum Qualifications for Assistant Caregiver - Negative TB Exam,0,0,0,1,False
747.1211(b) - Caregiver Qualification Age Exemption Attends High School,0,0,0,1,False
747.1211(b)(2) - Caregiver Qualification Age Exemption Attends High School - Supervised,0,0,0,1,False
746.2605(2) - Furnishings and Equipment for Pre-Kindergarten Age - Age-appropriate,0,2,3,1,False
749.1003(b)(11) - Children's rights-Adhere to the child's right to reasonable opportunities to participate in community functions,0,0,0,1,False
"746.5537(a)(4) - Electronic or Battery-Operated CO System-Document Tests, New Battery Installation and Name of Responsible Employee",0,1,1,1,False
744.3817(a)(3) - Required Equipment in Vehicles - Information About Facility,0,0,1,1,False
"749.101(6)(C) - Permit holder responsibilities-Investigate reports of rules violations and submit reports of agency actions and findings, upon Licensing request",0,0,0,1,False
746.709 - Incident/Illness Report Form Storage,0,0,3,1,False
744.3563(c) - No Blocked or Locked Doors as Exits,0,0,0,1,False
749.1109(b) - Placement Agreement - Must be signed by the child's parent,0,0,0,1,False
749.1109(a)(2) - Placement Agreement-Includes a medical consent form signed by a person authorized by the Texas Family Code to provide consent,0,0,0,1,False
744.3601 - Fire- Extinguishing System,0,0,1,1,False
"749.1107(a)(9) - Child Admission Records-Include the chronic health conditions, such as asthma or diabetes",0,0,0,1,False
749.1107(a)(7) - Child Admission Records-Include the child's immunization record,0,0,0,1,False
"749.1107(a)(4) - Child Admission Records-Include the names, addresses, and telephone numbers of siblings at admission",0,0,0,1,False
"749.1107(a)(13) - Child Admission Records-Include a copy of the placement agreement, if applicable",0,0,0,1,False
746.801(19) - Required Records Maintained and Made Available - Tracking System,0,0,0,1,False
744.3611(b) - Smoke-Detection System - If Located in a Public School,0,0,0,1,False
744.3615 - Smoke-Detection System Tested,0,0,1,1,False
"749.101(4)(A) - Plans to submit - that ensures you will investigate reports of minimum standard violations, upon request by Licensing",0,0,0,1,False
744.3619 - Smoke Detectors Testing,0,0,2,1,False
749.105(5) - Personnel Policies  - Ensure that personnel policies comply with background check requirements,0,0,0,1,False
"749.103(4) - Permit holder responsibilities-Ensure all required documentation is true, current, accurate, and complete",0,1,10,1,False
744.3757(a)(2) - Electronic or Battery-Operated Carbon Monoxide Detector-Check All Detectors Monthly,0,1,1,1,False
746.801(4) - Required Records Maintained and Made Available - Director's Certificate,0,0,1,1,False
"744.3757(a)(3) - Electronic or Battery-Operated Carbon Monoxide Detector-Document Test Date, Battery Installation Date, and Staff Name Testing and Installation",0,0,2,1,False
746.801(7) - Required Records Maintained and Made Available - Medication Records,0,0,0,1,False
749.1013(d) - Child Rights contact others-Restrictions that last more than 30 days are re-evaluated monthly by child placement management staff,0,0,0,1,False
749.1011(b) - Child Rights sibling contact-Address plans for sibling visits and contacts in the child's record,0,0,1,1,False
746.2607(8) - Activities for Pre-Kindergarten Age - Develop Self-help Skills,0,0,1,1,False
746.805(3) - Electronic Records-Available During Business Hours,0,1,2,1,False
749.101(6)(E) - Permit holder responsibilities-Child placement management staff submit investigation report to Licensing within 30 days of a request,0,1,1,1,False
"749.101(6)(D) - Permit holder responsibilities-Child placement management staff conduct, review and sign off on all investigations completed by the agency",0,0,2,1,False
744.3653(a) - Gas Leak Inspection - Natural Gas,0,0,0,1,False
744.2963(a) - Share Outdoor Activity Space With Written Plan,0,1,0,1,False
"744.3105(a)(3) - Prohibited Equipment - Trampolines - Except if Less Than 4 Feet, 12 Inches or Less Above Resilient Material",0,0,0,1,False
749.1813(c) - AP Infant requirements-A foster home may not use soft bedding in a crib for an infant twelve months old or younger,0,0,3,1,False
746.501(a)(3) - Written Operational Policies -Exclusion Criteria,0,0,0,1,False
749.1819(b)(1) - Infant requirements-Caregiver must hold infants while feeding them if the infant is birth through six months old,0,0,0,1,False
746.2803(1) - Discipline - Individualized and Consistent for Each Child,0,0,0,1,False
"749.2055(a)(1) - Emergency Behavior Intervention-Before using EBI, the caregiver must attempt less restrictive interventions that prove to be ineffective",0,0,0,1,False
"744.2607(b) - Firearms, Hunting Knives, Bows and Arrows, Weapons Prohibited Unless Residence",0,0,0,1,False
746.5303 - Fire Extinguishing System - Approval,0,0,0,1,False
749.1819(c) - Infant requirements-Caregivers must never prop a bottle by supporting it with anything other than the child or adult's hand,0,0,1,1,False
749.1951(a) - Disciplinary Measures-Only a caregiver known to & knowledgeable of the child may discipline the child,0,0,3,1,False
746.5317 - Installation of Smoke Detectors,0,0,8,1,False
749.1541(c)(7) - Medication Record-Must include the child's refusal to accept medication,0,0,0,1,False
749.2051(a)(1) - Emergency Behavior Intervention-Use short personal restraint only if agency policies permit and requirements of this subchapter are met,0,0,1,1,False
744.2911 - Caring for Children Above or Below Ground Level,0,0,1,1,False
746.501(a)(7) - Written Operational Policies -Discipline,0,0,0,1,False
746.505(2) - Notify Parents of Change in Operational Policy or Enrollment Agreement,0,0,0,1,False
"749.1957(6) - Other Prohibited Discipline-Pinching, pulling hair, biting, or shaking a child",0,1,2,1,False
746.5301 - Fire- Extinguishing System,0,1,8,1,False
749.1841(c) - Toddler requirements-Caregiver must never leave toddler unsupervised; caregiver must be within eyesight or hearing range of sleeping toddler,0,1,0,1,False
"749.1541(b)(4) - Medication Record-Must include medication name, strength & dosage",0,0,2,1,False
"749.1541(b)(5) - Medication Record-Must include date (day, month, year) & time each medication was administered",0,0,8,1,False
749.1541(b)(6) - Medication Record-Must include name & signature of person who administered each medication,0,0,3,1,False
744.2957 - Fenced Outdoor Activity Space -Gates Locked,0,0,0,1,False
749.1957(15) - Other Prohibited Discipline-Using or threatening to use emergency behavior intervention as discipline or punishment,0,0,0,1,False
749.1541(c)(2) - Medication Record-Must include prescribing health-care professional's name,0,0,0,1,False
746.5013(a)(2) - Safety Requirements for Wading Pools - Drained Daily and Sanitized,0,0,1,1,False
"749.1541(c)(8) - Medication Record-Must include reasons for administering PRN psychotropic medication, or nonprescription medication for a child under 5 years old",0,0,0,1,False
746.5013(a)(1) - Safety Requirements for Wading Pools - Stored Out of Children's Reach,0,0,2,1,False
746.5015 - Safety Requirements for Sprinkler Play,0,0,3,1,False
"749.1957(12) - Other Prohibited Discipline-Confining a child to a highchair, box, or other similar furniture or equipment as discipline or punishment",0,0,1,1,False
"749.1503 - Medication Self-Administration-Child documents medications if home has system of daily review, or child reports information for caregiver to document",0,0,1,1,False
"749.151(6) - Operational responsibilities - Not offer different services that conflict with needs of child in care, caregiver's responsibilities, space",0,0,0,1,False
749.1521(2) - Medication Storage-Keep medication inaccessible other than to caregivers responsible for stored medication,0,2,2,1,False
746.2707(7) - Activities for School-age - Provides Social/Emotional Development,0,0,2,1,False
749.2055(a)(2) - Emergency Behavior Intervention-Basis for EBI is emergency situation or to administer medication,0,0,0,1,False
749.153(a)(1)(B) - Notification - At least 30 days in advance - Change in agency location,0,0,0,1,False
749.1541(b)(1) - Medication Record-Must include child's full name,0,0,1,1,False
749.1541(b)(2) - Medication Record-Must include prescribing health-care professional's name,0,0,0,1,False
746.5013(b) - Safety Requirements for Wading Pools - 746.5001,0,0,0,1,False
"749.1541(b)(3) - Medication Record-Must include reason medication was prescribed, for prescription medication",0,0,2,1,False
744.2961(2) - Additional Requirements For Outdoor Activity Space Not Connected To Operation - Written Plan for Supervision,0,0,0,1,False
744.2801 - Release of Children,0,0,3,1,False
749.161(b)(2)(A) - Fiscal requirements - Make available for Licensing annual review of your financial records conducted by independent CPA,0,0,0,1,False
749.1813(a)(3) - Infant requirements-A foster home may not use accordion safety gates with infants,0,0,0,1,False
749.15839(b)(1) - Medication side effects-The caregiver must document the observed and reported side effects,0,0,0,1,False
749.1543(b) - Medication Records-Foster parents submit copies of the records to the agency each month; agency files these records in the child's record,0,1,1,1,False
746.5203(b) - Inform and Share Emergency Preparedness Plan With Parents,0,0,2,1,False
749.1803(c) - Infant requirements-An infant's caregiver must ensure that the environment is safe,0,0,2,1,False
"745.4151(c)(4)(B) - Mandatory Drug Testing-All Employees are Subject to Random, Unannounced Drug Testing",0,1,2,2,False
744.2751(1) - First Aid Kit - Clearly Labeled,0,0,1,2,False
"749.2447(6) - Foster Home Screening-Agency documents the financial status of the prospective foster family; income, bank statements, and household expense reports",0,5,10,2,False
748.1117 - Documentation of searches-Caregiver documents searches in the child's record,0,1,4,2,False
"748.111(2) - Child-care Policy - Child's right to correspond by mail, including electronic messages",0,0,0,2,False
749.535(b) - Active records-Copies kept by foster parents submitted to the agency within 15 days from the end of each month and filed in the child's record,0,0,0,2,False
744.1203(3) - Responsibilities of Caregivers - Know Children's Names and Ages,0,1,3,2,False
744.2655(c)(4) - Medication Records - Name of Employee Who Administered,0,0,1,2,False
"748.1205(a)(1) - Admission Documentation-Includes child's name, gender, race, religion, date of birth",0,0,0,2,False
"749.2447(6)(A) - Foster Home Screening-Discuss with prospective foster parents your reimbursement process, if applicable",0,0,0,2,False
749.2447(6)(B)(ii) - Foster Home Screening-Document and assess for each prospective parent copy of 2 bank statements and/or previous year's tax return,0,0,0,2,False
749.503(a)(9)(A) - Serious Incident-Report to Licensing no later than 6 hours after determining a child 13 years old or older is missing.,0,0,0,2,False
749.2449(a)(2) - Interview For Foster Home Screening-Must include at least one individual interview with each child 3 yrs old or older living in the home,0,0,0,2,False
749.1111(a) - Child Orientation-Provided to child who is 5 years old or older within 7 days of admission and geared to child's intellectual level,0,0,3,2,False
"748.1331(b)(4) - Preliminary Service Plan-For child receiving treatment services, identify any issues or concerns child may have that could escalate child's behavior",0,0,3,2,False
749.2449(a)(6) - Interview For Foster Home Screening-Must include one interview by phone/in person or letter with child 12 yrs and older or adult children not in home,0,1,1,2,False
"748.1331(b)(2) - Preliminary Service Plan-For child receiving treatment services, include a description of child's immediate educational, medical, and dental needs",0,0,1,2,False
744.2751(4) - First Aid Kit - Stored in Designated Location,0,0,0,2,False
744.3565 - Emergency Lighting,0,0,0,2,False
748.1271(6) - Emergency Admission Documentation-Identification of child's high risk behaviors and related safety plan staff and caregivers will implement,0,0,5,2,False
744.1303(a)(3) - Orientation-Detection of Child Abuse,0,0,0,2,False
749.2449(a)(5) - Interview For Foster Home Screening-Must include at least one family group interview with all family members living in the home,0,0,1,2,False
744.501(8) - Written Operational Policies - Meals,0,0,0,2,False
"748.1223(a) - Admission-Medical exam by health-care professional within 30 days after admission, unless documentation of medical exam within past year available",0,0,5,2,False
749.503(a)(2)(B) - Serious Incident-Report to parents no later than 24 hours after injury or illness that warrants treatment by medical professional/hospitalization,0,1,3,2,False
"749.503(a)(3)(A) - Serious Incident-Report to Licensing as soon as aware of allegations or indications of abuse, neglect, or exploitation of a child",0,0,4,2,False
746.1305(a)(4) - Pre-service Training- Fostering Self-esteem,0,0,0,2,False
744.3607(a) - Inspect Fire Extinguishers Monthly,0,1,3,2,False
748.4657(1)(A) - Annual Training-Every 6 months a caregiver must complete at least 4 hours of training in EBI,0,0,5,2,False
744.501(5) - Written Operational Policies -Emergencies,0,0,0,2,False
748.4701(a) - Child/caregiver ratio-Single caregiver may care for a max of 4 during children wake hours.,0,0,0,2,False
"748.1217(b)(3) - Admission Assessment-At admission, must include description of child's behavior, appropriate & maladaptive, behavior posing risk to self/others",0,0,1,2,False
748.1217(a) - Admission Assessment-Must provide initial evaluation of appropriate placement & ensure that necessary information for service planning is obtained,0,0,2,2,False
"748.1215(b) - Admission Assessment-Professional level service provider must sign & date assessment, which must be in child's record",0,0,3,2,False
744.3607(b) - Fire Extinguishers Serviced,0,0,2,2,False
748.507(3) - Employee general responsibilities-Know and comply with rules of Chapter 748 and any other rules and laws relevant to person's duties,0,0,0,2,False
"748.509 - TB screening-Caregivers, employees, volunteers, contract service providers screened for TB before having contact with children in care",0,1,3,2,False
"748.1209(b)(6) - Child Orientation-Include policies on emergency behavior intervention, including policies & practices on the use of personal restraint",0,1,5,2,False
748.1207(a)(3) - Placement agreement-Must include the reason for placement & anticipated length of time in care,0,0,0,2,False
744.501(23) - Written Operational Policies - Procedures for Health Checks,0,0,0,2,False
746.1305(a)(3) - Pre-service Training- Discipline and Guidance,0,1,6,2,False
746.1303(a)(4) - Orientation-Handling Emergencies,0,0,0,2,False
"749.553(10) - Personnel records-For each person who transports a child, include copy of valid driver's license or DPS driver's license check done in last 12 months",0,0,0,2,False
745.686(d) - Person may not be present at the operation if time frames for requests for a risk evaluation are not met by the operation,0,2,7,2,False
"748.1101(b)(6)(C) - Children's rights-to confidential care/treatment, include keep medical & operation records private. Discussing them only when it's about child's care",0,0,0,2,False
744.2577(2) - Critical Illness or Injury -Give First Aid or CPR,0,0,4,2,False
744.401(6) - Required Posting-Licensing Parent Notification Poster,0,0,0,2,False
744.1013(a) - Director's Absence - Qualified Caregiver in Charge,0,0,0,2,False
749.2447(12)(B) - Foster Home Screening-Evaluate and document prospective foster parents' willingness to provide a child opportunity for religious/spiritual development,0,0,0,2,False
744.1011 - Director Present During Operating Hours,0,1,4,2,False
749.945(2) - Annual Training-Caregiver that administers psychotropic medication must receive annual psychotropic medication training every 12 months,0,0,4,2,False
749.2447(1) - Foster Home Screening-Agency documents ages of all household members; agency has documentation verifying ages of prospective foster parents,0,0,2,2,False
748.105(2) - Personnel Policies - Develop written job descriptions including minimum qualifications and job responsibilities for each position,0,0,0,2,False
744.905 - Employees' Attendance Records,0,0,6,2,False
746.1317(a) - Training Criteria - Provided By,0,0,2,2,False
746.1317(c) - Training Criteria - No Self-Instructional for CPR or First Aid,0,0,5,2,False
749.989(a) - Documentation of first-aid and CPR certification-Document completion of each training requirement in the appropriate personnel records,0,0,1,2,False
748.311(7) - Serious Incident Documentation-Includes circumstances surrounding the incident,0,0,1,2,False
748.985(b) - First-aid-CPR training- CPR certification can not be obtained through self-instructional training,0,0,0,2,False
749.2445(c)(1) - Verification-The foster home screening must document required info in 749.2447,0,2,2,2,False
749.2445(b) - Verification-Agency child placement management staff must review and approve each foster home screening.,0,0,0,2,False
HRC42.056 - Background Checks,0,0,0,2,False
747.623(b) - Immunization Records - Include in Documentation,0,0,1,2,False
746.1329(a)(3) - Documentation of Training Requirements - Title,0,0,0,2,False
744.901(7) - Required Personnel Records - Proof of Request for background check,0,0,2,2,False
749.2061(b)(1) - Short Personal Restraint-Caregiver may not use a prone or supine restraint,0,0,0,2,False
"744.2601(3) - Safety - Air Conditioners, Fans, Heaters Safeguarded",0,0,2,2,False
747.707 - Incident/Illness Report Form Shared with Parent,1,0,1,2,False
748.3107(a) - Smoke Detector-Must have an operable smoke-detection system that is audible throughout building,0,1,2,2,False
744.401(7) - Posting Requirements - Telephone Numbers,0,0,4,2,False
748.949(b)(5) - Annual Training Documentation-Includes the length of the training in hours,0,0,3,2,False
748.981(a)(1) - First-aid-CPR training-Each caregiver must have current certification in first-aid,0,2,3,2,False
"749.2401 - Verification-In order for one spouse to be a foster parent, agency must verify both of them to provide foster care",0,0,1,2,False
747.803(b) - Records Storage - Training Records Current and Last Year,0,0,0,2,False
744.901(9) - Required Personnel Records- Current Driver's License,0,2,3,2,False
747.909(2) - Records for Primary Caregiver - TB Test,1,4,6,2,False
747.801(5) - Records Maintained and Made Available - Medication Records,0,0,0,2,False
744.3803(c) - Types of Vehicles Used to Transport Children - Be Maintained Safely,0,1,1,2,False
748.1101(b)(1)(C) - Children's rights-Adhere to the child's right to receive fair treatment,0,0,0,2,False
745.249 - Required Liability Insurance,0,0,2,2,False
748.3273(8) - First Aid Kits-Each one must contain thermometer,0,0,1,2,False
"748.685(b)(5) - Caregiver responsibility - when deciding how close to supervise, takes into account the child's physical, mental, emotional, and social needs",0,1,5,2,False
744.801(5) - Required Records Maintained and Made Available - Liability Insurance,0,0,0,2,False
749.2447(23)(A)(iii) - Foster Home Screening-Agency must request and assess any record of deficiencies and their resolutions from CPA that previously studied the home,0,0,0,2,False
744.501(12) - Written Operational Policies -Transportation,0,1,2,2,False
749.1111(b)(6) - Child Orientation-Include policies on emergency behavior intervention; include child's input on preferred de-escalation techniques,0,0,4,2,False
744.3807(c) - Child Passenger Safety Seat System - Child 12 Years and Younger Must Not Ride in Front Seat,0,0,0,2,False
748.863(a)(1) - Pre-Service Training-All caregivers must receive 8 hours of general pre-service training before being only caregiver responsible for a child in care,0,2,3,2,False
748.1101(b)(5)(C) - Children's rights-Adhere to the child's rights to be free from being threatened with corporal punishment,0,0,2,2,False
744.801(8) - Required Records Maintained and Made Available - Menus,0,0,3,2,False
"748.1101(b)(4)(B) - Children's rights-The right to discipline that is appropriate to the child's age, maturity, and developmental level",0,0,0,2,False
744.2523(1) - Caregivers Must Wear Gloves When Handling Bodily Fluids,0,0,0,2,False
744.1103(2) - Minimum Qualifications  Employees and Caregivers - TB Exam,0,0,2,2,False
744.3807(c) - Safety Seat System - Child 12 Yr and Younger Must Not Ride in Front Seat,0,1,1,2,False
"744.3807(d)(3) - Safety Seat System - 4 Yrs and More Than 40 lbs; 5 - 7 Yrs and under 4 ft, 9 in",0,1,2,2,False
744.3813 - One Seat Belt Per Person,0,0,0,2,False
749.101(4)(B) - Plans to submit - that you will submit reports of agency's investigative actions & findings to Licensing within 30 days for review/follow-up/closure,0,0,0,2,False
748.3061(2) - Gas Inspection-Operation inspected at least once every 24 months from date of last inspection for gas leaks,0,0,1,2,False
749.1957(5) - Other Prohibited Discipline-Maintaining an uncomfortable physical position,0,0,2,2,False
749.2447(18) - Foster Home Screening-Agency documents the attitude of the prospective foster parents' extended family regarding foster care,0,0,1,2,False
748.881(7) - General pre-service training curriculum-Includes normalcy,0,0,0,2,False
749.2447(2) - Foster Home Screening-Agency documents that prospective foster parents have GED/high school diploma or pass agency's screening program,0,0,1,2,False
749.831(b) - Orientation-Document the completion of the orientation in the appropriate personnel record,0,0,2,2,False
744.909 - Access to Personnel Records,0,0,1,2,False
"748.1101(b)(3)(E) - Children's rights-privacy to send/receive unopened mail,have phone conversations,keep journal,have visitors unless the child's best interest",0,0,0,2,False
748.869(c) - Pre-service instructor-Health-care professional/pharmacist must provide psychotropic medication training and assess each participant after training,0,0,1,2,False
744.1043 - Education Outside of U.S.,0,0,0,2,False
749.673 - Child placement staff qualifications-Employees who perform child placement activities must meet educational and professional qualifications,0,0,4,2,False
749.669(8)(B)  - Child placement management staff responsibilities-Review/approve/sign/date child restrictions that continue for more than 30 days & need re-evaluation,0,0,0,2,False
"749.669(6) - Child placement management staff responsibilities-Review, approve, sign and date initial and updated service plans",0,0,4,2,False
"749.669(2) - Child placement management staff responsibilities-Review, approve, sign and date initial and subsequent placement documents",0,0,1,2,False
748.881(6) - General pre-service training curriculum-Includes trauma informed care,0,0,0,2,False
"749.609 - TB screening-Caregivers, employees, contract staff, volunteers and members of foster home screened for TB before having contact with children in care",0,0,4,2,False
744.603(a)(5) - Children's Records - Incident/Illness Form,0,0,0,2,False
"749.1111(d) - Child's Orientation-Document in the record when the orientation occurred, any item that it did not include, and the reason any item was omitted",0,0,0,2,False
748.3443(b)(2) - Food Preparation-Must have a thermometer in freezers & store frozen food at 0 degrees Fahrenheit or below,0,0,0,2,False
748.2101(4) - Medication Storage-Store medication covered by Schedule II of the Texas Controlled Substances Act under double lock in a separate container,0,0,5,2,False
744.305(a)(5) - Report Situation Placing Children at Risk,0,4,7,2,False
749.2908(a) - Disaster and Emergency- foster homes must practice disaster and emergency plans each year,0,1,1,2,False
748.2051(2) - Medication Self-Administration-Self-medication program must be in the child's service plan & include requirements for caregiver supervision,0,0,1,2,False
748.2003(b)(6) - Administration of prescription medication-ensure a person trained in & authorized to administer prescription medication administers the medication,0,0,0,2,False
748.2003(b)(5) - Administration of Medication-Ensure the child has taken the medication as prescribed,0,1,22,2,False
"744.2105(6) - Prohibited Punishments - Humiliating, Rejecting, Yelling",0,1,2,2,True
749.2911 - Smoke Detectors-must be installed and maintained according to the manufacturer's or fire inspector's instructions,0,0,0,2,False
748.2003(b)(3) - AP Administration of Medication-Administer medications according to label instructions or a prescribing health-care professional's subsequent orders,0,0,4,2,False
748.2003(b)(2) - Administration of Medication-Store medication in the original container unless there is an additional container with the same label & instructions,0,0,1,2,False
746.1009 - More Than One Designated Director,0,0,0,2,False
"748.3471(5) - Safety Requirements-Equipment must be securely anchored according to manufacturer's specifications to prevent collapsing, tipping, sliding, etc.",0,0,0,2,False
749.2931(b) - Tobacco Product-Caregivers and other adults may only smoke tobacco products outside,0,0,2,2,False
748.191(2) - Required Postings-Post Licensing notice Keeping Children Safe in prominent and publicly accessible place where others may easily view it at all times,0,0,0,2,False
"749.2961(a)(1)(A) - Weapons-If weapons/explosives/projectiles allowed, must ensure locked storage for weapons and ammunition",0,3,7,2,False
744.305(a)(6) - Report Change in Controlling Person,0,2,0,2,False
"749.2961(a)(1)(D) - Weapons-If weapons/explosives/projectiles allowed, must ensure separate locked storage for weapons and ammunition",0,0,2,2,False
744.307(a)(1) - Parental Communication - Treatment by Health Personnel,0,3,7,2,False
749.1401(b) - Medical care-The child's record must include a written record of each medical examination,0,0,3,2,False
744.307(b) - Parental Notification of Less Serious Injuries,0,1,4,2,False
748.3561 - Protective Surfacing-Must install protective surfacing in all required use zones,0,0,0,2,False
749.137(b) - All employees and caregivers must be aware of and follow your  policies and procedures,0,0,0,2,False
744.2953 - Fenced Outdoor Activity Space,0,0,0,2,False
"749.1337 - Service Plan Review/Update-Notification, participation, implementation, documentation requirements for a review are the same as for an initial plan",0,0,1,2,False
748.1703(c) - Menus-must date menus and keep copies for 90 days,0,0,0,2,False
749.1333(a) - Service Plan Review and Update-Review child's service plan whenever placement changes because of a change in child's needs,0,0,1,2,False
746.1039(a)(1) - Documentation for Directors - Personal History Statement,0,0,0,2,False
746.1039(a)(5) - Documentation for Directors - Verification of Meeting Requirements,0,0,0,2,False
744.2959 - Outdoor Activity Space Accessible By Safe Route or get required approval of plan,0,0,1,2,False
749.2907(A)(1) - Emergency Plans-Each foster home must have written plans and procedures for handling potential disasters and emergencies,0,1,1,2,False
748.2101(6) - Medication storage & destruction-remove discontinued medication immediately & destroy it in a way that ensures children do not have access to it,0,0,0,2,False
748.2101(7) - Medication storage & destruction-remove medication on/before the expiration date & destroy it in a way that ensures children do not have access,0,0,0,2,False
"749.2605(b)(7) - Reasonable & prudent parent standard-must consider the surrounding circumstances, hazards, and risks of the activity",0,0,0,2,False
749.1463(b)(7) - Administration of Medication-Maintain documentation provided by the health-care professional on the administration of current prescription medication,0,1,1,2,False
"745.661 - Take appropriate action for a conviction or finding, must remove person from operation, restrict duties, and/or request a Risk Eval",0,0,6,2,False
"745.657(a) - Central Registry findings that bar a person, eligibility for a risk eval, and whether the person who is eligible may be present",0,1,6,2,False
749.1463(b)(2) - Administration of Medication-Store medication in the original container unless there is an additional container with the same label & instructions,0,0,0,2,False
"749.1501(2) - Medication Self-Administration-Self-medication program must be in child's service plan, including any requirements for caregiver supervision",0,0,1,2,False
749.1463(b)(10) - Administration of Medication-Must not borrow or administer prescription medication to a child that is prescribed to another person,0,0,2,2,False
749.1521(3) - Medication Storage-Store medication covered by Schedule II of the Texas Controlled Substances Act under double lock in a separate container,0,0,0,2,False
748.2301(b)(2) - Disciplinary Measures-must not be physically or emotionally damaging to the child,0,0,1,2,False
749.1427(a) - Vision and Hearing-Each child screened for possible vision and hearing problems; professional vision and hearing exam if problems detected,0,0,2,2,False
"748.3441(c) - Food Preparation-Must keep furniture, equipment, surfaces & other areas where food is prepared, eaten or stored clean & in good repair",0,0,4,2,False
"745.651(a) - Convictions that permanently/temporarily bar a person, eligibility for a risk evaluation, and whether the person who is eligible may be present",0,1,5,2,False
749.1521(4) - Medication Storage-Make provisions for storing medication that requires refrigeration,0,0,0,2,False
"748.2151(c)(4) - Medication record - must include medication name, strength and dosage",0,0,0,2,False
744.801(12) - Required Records Maintained and Made Available - Gas Inspection Report,0,0,0,2,False
749.2815(e)  - Supervisory Visits- Documentation must be signed by each foster parent present for visit and child placement staff conducting visit,0,0,0,2,False
749.2599(3) - Supervision-16-year-old or older may serve as a babysitter if he/she is certified in first aid and CPR,0,1,2,2,False
"749.1417(b) - TB exam-Documentation of baseline test or chest xray results in person's record w/in 40 days of beginning to live, work, volunteer at operation",0,2,5,2,False
749.2599(1) - Supervision-16-year-old or older may serve as babysitter with child placement management staff approval and established limits on duration/frequency,0,1,1,2,False
744.305(a)(1) - Report Unsafe Facility Occurrence,0,0,0,2,False
748.3443(a)(4) - Food Preparation-Food items must be stored in a container that is protected from insects & rodents,0,0,7,2,False
749.1409(a)(4) - General dental requirements-Child must receive dental care as needed for ongoing maintenance of dental health,0,0,2,2,False
748.2151(b)(2) - Medication record - update cumulative record within 24 hours of administering medication if operate on a cottage home model,0,0,0,2,False
748.2151(b)(1) - Medication record - update cumulative record within 2 hours of administering medication,0,0,0,2,False
"748.2151(a) - Medication Record-Maintain cumulative record of prescription medications dispensed to child, include nonprescription meds for child under five yrs old",0,2,13,2,False
748.2101(9) - Medication Storage & Destruction-provide prescription medication to whom a child is discharged or transferred if the child is taking the medication,0,0,0,2,False
749.2599 - Supervision-A child 16 years old or older may serve as a babysitter for foster care children under the age of 13,0,0,0,2,False
748.2461(a)(2) - Short Personal Restraint-Caregiver must use minimal amount of reasonable and necessary physical force,0,0,2,2,False
"749.2905(b) - Fire and Health Inspections-If evaluation checklist used for foster home's fire or health inspection, checklist is current for one year",0,0,4,2,False
748.2101(8) - Medication Storage & Destruction-remove medication of discharged/deceased child immediately & destroy in way that ensures children do not have access,0,0,0,2,False
749.1521(6) - Medication Destruction-Remove discontinued medication immediately & store it in separate locked area until destroyed within 30 days,0,0,0,2,False
749.3029 - Bedrooms-Child 6 years old or older must not share bedroom w/ person of opposite sex unless sharing w/ his parent or if both children non-ambulatory,0,0,2,2,False
