NARRATIVE,STANDARD_NUMBER_DESCRIPTION,CORRECTED_DATE,DATE_CORRECTION_VERIFIED,OPERATION_ID
A caregiver was observed using prohibited punishment when the caregiver yanked the child by the arm which could have led to an injury when placing the child in time out.,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",07/05/2017 12:00:00 AM,07/10/2017 12:00:00 AM,1229439
It was determined after the investigation that a caregiver did pinch a child in care which resulted in an injury to his neck.,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",02/12/2016 12:00:00 AM,04/12/2016 12:00:00 AM,340941
"Based on information gathered during the investigation, it was determined that a caregiver grabbed a child too hard, causing injury.","746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",12/22/2015 12:00:00 AM,12/28/2015 12:00:00 AM,573548
"Based on interviews and a documented skin injury, it was determined that a caregiver had grabbed a child's arm too hard, causing bruising, while making the child clean up milk that the child had spilled. The director took the appropriate steps and terminated the employee immediately.","746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",10/25/2016 12:00:00 AM,11/08/2016 12:00:00 AM,114464
"Based on the information gathered during this investigation, a violation of this standard was identified when a caregiver inappropriately grabbed a child by the arm causing an injury when the child would not follow come down from a slide.","746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",09/12/2016 12:00:00 AM,09/16/2016 12:00:00 AM,850828
"Based on the information received during the investigation, a caregiver injured a child with her hand as she attempted to punish him for playing in the bathroom of the operation.",746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,07/08/2016 12:00:00 AM,07/22/2016 12:00:00 AM,717408
This standard was evaluated with regard to an investigation. A caregiver slapped a child on the face with an open hand.  No injuries were observed.,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,08/25/2017 12:00:00 AM,08/31/2017 12:00:00 AM,149203
A caregiver did use prohibited punishment on a child in care when the caregiver used a ruler to hit the child on the back of the hand. The child did not suffer any injury. The caregiver was terminated immediately.,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,11/30/2016 12:00:00 AM,11/30/2016 12:00:00 AM,1180749
Based on interviews obtained it was determined that a caregiver spanked a child in care to keep the child from climbing on a shelf in the classroom. There were no injuries noted on the child.,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,02/18/2016 12:00:00 AM,02/24/2016 12:00:00 AM,102874
It was determined that a caregiver grabbed a child in care by the wrist leaving an injury.  The child did not want to play on the playground and the caregiver grabbed her by the wrist and pulled her to a different area.,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,08/23/2017 12:00:00 AM,08/28/2017 12:00:00 AM,162346
"Based on the information obtained during the interviews, a caregiver hit a child on his head and leg with their hand.  However, no injuries were observed.",746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,05/31/2017 12:00:00 AM,06/08/2017 12:00:00 AM,99175
"A caregiver was observed hitting children with an open hand on the buttocks and legs several times over a 2 hour period. The same caregiver was observed hitting children with a stick on the buttocks and legs. While the hitting was not hard enough to cause injury, the actions were still prohibited. The caregiver was terminated once the director was able to review video.",746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,07/05/2017 12:00:00 AM,07/10/2017 12:00:00 AM,299562
Based on information gathered during an investigation it was determined that a caregiver grabbed a child by the arm as a form of redirection resulting in an injury to the child's arm.,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,08/02/2017 12:00:00 AM,08/09/2017 12:00:00 AM,352215
An infant child received injuries that are concerning for maltreatment and physical abuse.,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,08/25/2017 12:00:00 AM,09/22/2017 12:00:00 AM,1244761
A child in care was critically injured when forcefully struck in the head by a caregiver.,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,02/25/2016 12:00:00 AM,03/02/2016 12:00:00 AM,369515
A caregiver attempted to force a child to sleep during nap time which resulted in a child being injured.,746.2905 - Children Not Required to Sleep,08/16/2016 12:00:00 AM,08/29/2016 12:00:00 AM,1243115
"The room was too dark during naptime, causing an accidental injury to occur.",746.2911 - Adequate Lighting During Naptime,09/14/2016 12:00:00 AM,09/14/2016 12:00:00 AM,1239301
Based on the information obtained during the investigation it was determined that the center did not report an unsafe occurrence to Licensing. The report came from an outside source other than the center. The Unsafe Facility Occurrence was a basketball goal falling off the wall causing a serious injury to a caregiver. Children were present when the basketball goal fell on his head and he was transported via EMS to the hospital.,746.305(a)(1) - Report Unsafe Facility Occurrence,04/14/2017 12:00:00 AM,04/11/2017 12:00:00 AM,1234718
The operation staff did not notify licensing once they had learned a child was seen at a dentist in regards to an injury the child received while in care.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,06/29/2016 12:00:00 AM,07/13/2016 12:00:00 AM,368890
The operation failed to report an injury to a child that required medical attention.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,07/07/2016 12:00:00 AM,07/12/2016 12:00:00 AM,105728
A child received an injury in care that required medical attention and licensing was not notified.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,07/05/2017 12:00:00 AM,08/16/2017 12:00:00 AM,1138636
"The operation failed to notify regarding a child in care that sought medical treatment due to an injury the child sustained while in care.       Director's notes: The operation was waiting until the parents provided proof regarding the child seeking medical treatment before the operation notify licensing regarding the incident. The operation normally make self reports and will continue to do so. During the inspection, the operation requested to make a self report regarding the incident.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,06/23/2017 12:00:00 AM,,158094
The operation failed to report a child injury requiring medical treatment.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,06/15/2017 12:00:00 AM,06/15/2017 12:00:00 AM,1234081
The operation failed to report to licensing an incident that occurred in which a child was injured and received medical attention.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,07/07/2017 12:00:00 AM,07/12/2017 12:00:00 AM,1159686
"A child was injured at the center and received medical treatment as a result of this injury in July. This injury was never reported to Licensing. Note, corrected at inspection as Licensing was informed of this injury.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,11/06/2015 12:00:00 AM,,337081
"This standard was evaluated with regards to an investigation and found to be deficient.  The operation failed to make a report to the department after learning that a child, who was injured, went for medical treatment.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,05/25/2016 12:00:00 AM,05/25/2016 12:00:00 AM,1100955
The operation did not notify licensing of an injury to a child that required medical attention in the required 48 hour period.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,06/06/2016 12:00:00 AM,06/13/2016 12:00:00 AM,251638
Licensing was not notified within 48 hours after a child was injured while in care and received medical treatment.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,04/28/2016 12:00:00 AM,05/05/2016 12:00:00 AM,133032
This standard was evaluated in regard to an investigation and was found to be out of compliance. A child was injured after falling on the playground and required medical attention. This incident was not reported to Child Care Licensing.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,05/11/2017 12:00:00 AM,05/22/2017 12:00:00 AM,1089007
"The operation failed to notify Licensing within 48 hours of a child in care sustaining an injury that required medical attention, as required by the Minimum Standards.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,12/07/2016 12:00:00 AM,12/28/2016 12:00:00 AM,250833
The operation did not report an injury that required medical attention to licensing. This was corrected at inspection as the owner called licensing staff to report the incident.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,06/01/2016 12:00:00 AM,,123191
"Based on information obtained during the investigation, the operation failed to notify licensing of a child requiring injury related medical attention within 48 hours.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,11/30/2016 12:00:00 AM,12/08/2016 12:00:00 AM,162125
A child received an injury that required medical treatment in May but the injury was not reported to Licensing until almost two weeks later.    The director has corrected this by reporting the incident and receiving technical assistance on this topic.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,06/05/2017 12:00:00 AM,06/05/2017 12:00:00 AM,94650
The operation did not notify Licensing of an injury that required medical treatment.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,07/05/2017 12:00:00 AM,07/05/2017 12:00:00 AM,1170541
During inspection licensing determined that a child injury occurred last month and the child received medical attention. Licensing was not notified about the injury.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,06/07/2016 12:00:00 AM,06/20/2016 12:00:00 AM,1107630
The operation failed to notify licensing that a child received medical attention from an injury that occurred while in care.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,06/14/2016 12:00:00 AM,07/23/0016 12:00:00 AM,680508
"The center failed to contact Licensing, when a child was injured, and received medical attention.      Note:  An intake report was created during the time of inspection.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,03/16/2016 12:00:00 AM,,94401
"Based upon the information that was received and reviewed throughout the course of the investigation it was determined that, the injury that required medical treatment was not reported into Licensing with-in the required time frame. The injury was not reported into Licensing until 2/29/16; the injury occurred on 2/09/16.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,03/22/2016 12:00:00 AM,04/15/2016 12:00:00 AM,949875
It was determined that an injury occurred that required medical treatment and this injury was not reported to licensing.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,06/15/2016 12:00:00 AM,06/17/2016 12:00:00 AM,192860
"During the investigation, it was found that an injury requiring medical treatment was not reported to licensing within 48 hours.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,03/09/2017 12:00:00 AM,03/24/2017 12:00:00 AM,318137
"Based on the information gathered and obtained during the investigation, it was determined that the operation failed to report to licensing two incidents in which children in care required medical attention for injuries which occurred while in care at the operation.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,07/08/2016 12:00:00 AM,08/12/2016 12:00:00 AM,1066088
"Based on the information gathered and obtained during the investigation, it was determined that the operation failed to report to licensing two incidents in which children in care required medical attention for injuries which occurred while in care at the operation.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,05/30/2016 12:00:00 AM,06/30/2016 12:00:00 AM,1066088
The operation did not report an injury to a child requiring medical attention within two days as required by the standards. The operation reported the incident to licensing five days after the incident occurred.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,06/03/2016 12:00:00 AM,,1101118
The operation failed to notify licensing that a child received medical attention from an injury that occurred while in care.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,05/27/2016 12:00:00 AM,07/11/2016 12:00:00 AM,263017
A serious injury that required medical attention was not reported to licensing.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,08/14/2017 12:00:00 AM,08/25/2017 12:00:00 AM,367066
The center did not report a child's injury that had to receive medical care due to not hearing from the parent after 5 days.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,06/20/2016 12:00:00 AM,06/28/2016 12:00:00 AM,171771
Based on the information gathered there was a child that was injured and received medical treatment and the Director did not notify Licensing.    The Director is going to start notifying Licensing as soon as he finds out that a child receives medical treatment.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,02/12/2016 12:00:00 AM,02/17/2016 12:00:00 AM,301388
"Based on the information gathered during this investigation, it was determined that the operation failed to report an incident in which a child required medical attention by making contact with Child Care Licensing personnel within the 2 day time frame.  The child injury occurred on 6/2/16 and actual contact with a Licensing Inspector was not made until 6/6/16.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,09/15/2016 12:00:00 AM,09/29/2016 12:00:00 AM,638388
The center failed to notify Licensing Intake or State Wide Intake of an injury requiring medical attention.     Note: This was corrected at inspection.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,02/08/2017 12:00:00 AM,,1160083
"This standard was evaluated as part of an investigation and found to be deficient. The operation did not report a child injury that required medical attention to Licensing, as required. This was corrected during the inspection when a written statement was received.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,03/28/2017 12:00:00 AM,,497090
The operation notified failed to notify child care licensing within the required two days allowed when a child in care was injured and required medical attention.  This incident occurred on 1/15/2016 and the operation notified child care licensing office on 1/20/2016 which was five days after the incident occurred on 1/15/2016.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,02/23/2016 12:00:00 AM,02/22/2016 12:00:00 AM,98554
This standard was evaluated with regards to a received report and found to be deficient due to center not reporting the injury as required. The child obtained medical care by a doctor for an injury received in care.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,10/31/2016 12:00:00 AM,11/07/2016 12:00:00 AM,96641
"On 01/12/17, a child was injured resulting in medical attention.  The incident was not reported to Child Care Licensing until 01/18/17 - which exceeded the 48 hour time frame.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,02/02/2017 12:00:00 AM,03/16/2017 12:00:00 AM,122714
This standard was part of an investigation.  The operation failed to report a child injury that required medical care.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,10/17/2016 12:00:00 AM,,1250456
The operation failed to notify licensing of a child injury needing medical treatment in less than 48 hours.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,12/06/2016 12:00:00 AM,12/13/2016 12:00:00 AM,912508
The operation failed to report an incident in which children suffered an injury while in care that required medical attention.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,08/23/2016 12:00:00 AM,08/23/2016 12:00:00 AM,233749
The operation failed to notify licensing about an child injury after becoming aware that the child sought medical treatment.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,06/15/2017 12:00:00 AM,06/28/2017 12:00:00 AM,1166281
"Based on the information received during the investigation, a child injured their fingers at the daycare requiring stitches. Because of this the daycare should have notified licensing and did not.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,12/12/2016 12:00:00 AM,,715089
The operation failed to report an incident where a child was injured and had to seek medical attention.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,03/21/2017 12:00:00 AM,04/18/2017 12:00:00 AM,94161
This standard was evaluated as the result of a report that was called in and was found to be deficient.      A child received an accidental injury while in care and the parent took the child for medical treatment and the operation did not call in a report to licensing.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,10/05/2016 12:00:00 AM,10/13/2016 12:00:00 AM,279315
The operation failed to notify Child Care Licensing when a child received an injury requiring medical treatment.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,09/08/2016 12:00:00 AM,09/14/2016 12:00:00 AM,260050
It was found that the operation failed to notify child care licensing within the 48 hour time frame of the child being injured while in care.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,09/14/2016 12:00:00 AM,09/21/2016 12:00:00 AM,914273
The facility did not report an injury requiring medical attention.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,11/13/2015 12:00:00 AM,12/14/2015 12:00:00 AM,1133013
Operation failed to notify Licensing within two days of an injury that occurred with a child in care that required medical treatment by a health care professional.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,09/14/2016 12:00:00 AM,09/14/2016 12:00:00 AM,203360
The child care operation failed to notify child care licensing regarding this report of injury to a child which required medical attention.  This report to licensing was made by a hospital medical staff person instead of the operation.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,03/17/2017 12:00:00 AM,03/31/2017 12:00:00 AM,318865
The center did not report incident to Licensing. The incident occurred on 1/18/17. The center did not report the child injury to Licensing until 1/23/17.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,02/14/2017 12:00:00 AM,03/08/2017 12:00:00 AM,933969
Notification to Licensing was not made within two days of injury to child.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,11/18/2016 12:00:00 AM,11/29/2016 12:00:00 AM,108007
The center did not make a report within the required 48 hour time limit. The director was made aware that a child was injured on 02/05/16. The director made the report on 02/09/16. The director is aware of the time frames and made the report to clear the deficiency.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,02/09/2016 12:00:00 AM,,99864
Based on information obtained during the investigation concludes the operation failed to notify licensing a child sustained an injury requiring medical treatment.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,05/17/2017 12:00:00 AM,05/17/2017 12:00:00 AM,1032108
During an investigation it was found that the center was notified about an injury that required medical attention and did not report to Licensing.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,06/07/2016 12:00:00 AM,07/05/2016 12:00:00 AM,231809
The operation did not report to Licensing within the required timeframe for a child injury requiring medical treatment.  The incident occurred on 3/8/2016 and was reported to Licensing on 3/11/2016.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,03/25/2016 12:00:00 AM,04/08/2016 12:00:00 AM,102121
This standard was evaluated in reference to an investigation and determined to be deficient due to the operation not reporting an injury in a timely manner.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,05/26/2017 12:00:00 AM,08/02/2017 12:00:00 AM,1170104
"Based on the information obtained, it was determined licensing was not notified regarding a child?s injury which required medical attention.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,06/30/2017 12:00:00 AM,07/18/2017 12:00:00 AM,1174716
This standard was evaluated as a result of an investigation and found to be deficient.  The operation did not self-report an injury to a child that required medical attention.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,08/25/2017 12:00:00 AM,,1114664
"This standard was evaluated based on a report and was found not in compliance, the operation notified to licensing a child got injured four days later.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,01/24/2017 12:00:00 AM,01/30/2017 12:00:00 AM,717408
"Based on the preponderance of evidence, observations made at the operation and interviews with staff and parents, it was determined that the operation was in violation of the minimum standards when they failed to report an injury obtained in care that required medical attention to licensing.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,05/26/2016 12:00:00 AM,05/31/2016 12:00:00 AM,1195666
This standard was evaluated regarding a report received and found to be deficient. A child in care received an injury which required further medical attention. Child Care Licensing was not notified of the incident.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,09/21/2016 12:00:00 AM,09/21/2016 12:00:00 AM,1181229
It was found the operation did not make a report that a child that was injured at a facility required medical attention.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,03/14/2016 12:00:00 AM,03/22/2016 12:00:00 AM,361727
Operation failed to notify Licensing within two days of an injury that occurred with a child in care that required medical treatment by a health care professional.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,09/06/2016 12:00:00 AM,09/14/2016 12:00:00 AM,203360
"Based on the preponderance of evidence, it was determined that the operation failed to speak to licensing to report an injury that required medical attention.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,12/07/2016 12:00:00 AM,12/07/2016 12:00:00 AM,103434
"This standard was evaluated with regards to a received report and found to be deficient. Even though the incident involving the injury noted on this report was reported , Information gathered indicated that a previous incident involving the child obtaining medical care for a fall at the center was not reported to Licensing.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,05/27/2016 12:00:00 AM,05/31/2016 12:00:00 AM,1154666
This standard was reviewed in relation to the self-reported allegations and found to be non compliant. The director failed to report an injury that required medical attention to Licensing with in the two day time period required.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,11/05/2015 12:00:00 AM,11/09/2015 12:00:00 AM,1103143
"Based on the evidence obtained during the course of the investigation, the center did not report an injury to a child that required medical attention, within the required 48 hour time frame, upon finding out that medical attention was sought by the parent.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,07/03/2017 12:00:00 AM,07/03/2017 12:00:00 AM,95358
The child care center did not report an injury of a child that required medical treatment within 48 hours.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,04/27/2016 12:00:00 AM,05/09/2016 12:00:00 AM,261328
The operation failed to report an injury requiring medical attention within the required two day time frame.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,02/24/2016 12:00:00 AM,03/08/2016 12:00:00 AM,1129662
The operation failed to notify licensing of the injury that occurred at the operation.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,08/24/2016 12:00:00 AM,09/12/2016 12:00:00 AM,215967
This standard was evaluated with regards to a received report and found to be deficient.  The incident involving an injury which a child obtained medical care for was not reported to Licensing as required by standards.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,09/23/2016 12:00:00 AM,09/22/2016 12:00:00 AM,835416
The operation was made aware that a child was going to the doctor for unexplained injuries and they did not notify licensing in the allotted time frame.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,04/12/2016 12:00:00 AM,04/26/2016 12:00:00 AM,1133257
The operation did not report a severe injury that received medical care to Licensing.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,08/03/2017 12:00:00 AM,08/07/2017 12:00:00 AM,100162
This standard was evaluated with regards to an investigation and found to be deficient.   The operation did not report an injury to a child that required medical attention.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,10/02/2015 12:00:00 AM,10/14/2015 12:00:00 AM,254808
Incident involving child receiving medical treatment was not reported to licensing.     NOTE: This was corrected at inspection by information being obtained regarding injury.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,06/15/2017 12:00:00 AM,,287197
On 08/20/2015 a child required medical attention as a result of an injury at the center. Child care licensing was not informed of the injury.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,10/20/2015 12:00:00 AM,10/22/2015 12:00:00 AM,760669
This standard was evaluated with regards to an investigation and found to be deficient.  The operation did not report to Licensing no later than 2 days after the incident when a child sustained an injury that required medical attention.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,01/06/2016 12:00:00 AM,01/04/2016 12:00:00 AM,149959
There was no record that the operation reported an injury to a child that required notification to Licensing within the required timeframe.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,01/05/2016 12:00:00 AM,01/05/2016 12:00:00 AM,241568
The operation did not report to licensing when a child in care was injured and sought medical treatment.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,08/08/2017 12:00:00 AM,08/14/2017 12:00:00 AM,1090409
This standard was evaluated as a result of an investigation and found to be deficient.  An injury requiring medical attention was not reported to licensing in the required 48 hour time span.  This was corected at inspection when I spoke  with the director about proper reporting procedures.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,07/17/2017 12:00:00 AM,,95391
The operation did not notify licensing of an injury to a child that required medical treatment.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,06/29/2016 12:00:00 AM,07/08/2016 12:00:00 AM,94385
The operation did not report an incident in which a child received an injury that required emergency medical attention.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,02/01/2017 12:00:00 AM,02/07/2017 12:00:00 AM,622308
During the investigation it was found that the operation had knowledge of a parent taking a child to received medical treatment from a injury that occurred while in care. This was corrected at inspection by discussing with the director  the required notifications for licensing and ensuring that future incidents that require medical treatment licensing is notified.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,08/24/2017 12:00:00 AM,,879966
During an investigation it was found that Licensing was not notified by the operation within 48 hours of the operation learning that a child was taken for medical treatment on an injury sustained while in care.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,08/01/2017 12:00:00 AM,08/22/2017 12:00:00 AM,101903
This standard was evaluated as a result of an investigation.    The operation failed to report to licensing an incident where a child was injured and required medical attention.  This was corrected at inspection when I reviewed with the assistant director the situations when licensing needs to be notified.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,08/12/2016 12:00:00 AM,,171999
The operation failed to report in a timely manner an injury to a child which required medical treatment.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,08/04/2017 12:00:00 AM,08/04/2017 12:00:00 AM,1226280
Incidents reports were not being documented when a child sustained an injury that broke the skin.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,07/29/2016 12:00:00 AM,08/05/2016 12:00:00 AM,311760
The operation did not notify licensing in the required amount of time set forth by minimum standards when an injury to a child occurred that required medical attention.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,07/28/2016 12:00:00 AM,07/28/2016 12:00:00 AM,1156134
Information obtained during the investigation showed that licensing was not properly notified of an injury that received medical attention.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,08/09/2017 12:00:00 AM,08/15/2017 12:00:00 AM,1210860
An injury that required medical treatment was not reported to Licensing within two days.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,05/10/2016 12:00:00 AM,05/10/2016 12:00:00 AM,811613
Licensing was not notified that a child was injured at the center and received medical treatment.     This was communicated to the director that licensing must be notified even if the child injured is their own.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,10/19/2015 12:00:00 AM,,1136538
A child who had received an injury that required medical attention was not reported. The child received an elbow injury on 1/24/17.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,01/30/2017 12:00:00 AM,03/03/2017 12:00:00 AM,99107
"Based upon the information obtained during the investigation inspection, the facility failed to report that a child was injured while in care on 12/30/15 and the injury required medical attention.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,01/07/2016 12:00:00 AM,02/16/2016 12:00:00 AM,99724
I observed an incident report signed by a parent from 06/2015. An injury to a child that required medical attention and was not reported to licensing.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,10/19/2015 12:00:00 AM,10/19/2015 12:00:00 AM,124815
The child care center did not report an injury that required medical treatment to the Licensing department.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,03/21/2016 12:00:00 AM,04/08/2016 12:00:00 AM,249777
This standard was evaluated in regards to a self report and compliance was not met.    The director did not report an injury that a child received while in care to Licensing within the proper time frames. You must notify Licensing within two days any time a child in care receives an injury requiring medical attention.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,11/08/2016 12:00:00 AM,11/22/2016 12:00:00 AM,1248656
"During the course of this investigation, the investigator was made aware of an incident that occurred on September 10, 2015 where a child was airlifted from the child care operation due to an injury that happened while the child was in care.  Licensing was not notified of the incident.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,12/23/2015 12:00:00 AM,01/13/2016 12:00:00 AM,1095347
Licensing was not notified of a child receiving an injury that required medical care until 6 days after.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,04/25/2017 12:00:00 AM,,359091
"Caregiver failed to notify licensing that a child at the operation sustained an injury in care, and received treatment by a health care professional.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,01/19/2017 12:00:00 AM,,1114995
The operation failed to report to licensing that a child in care required medical treatment for an alleged injury at the operation.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,01/11/2017 12:00:00 AM,01/19/2017 12:00:00 AM,1184399
Failed to notify Licensing with two days of an injury to a child in care that required treatment by a health-care  professional.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,11/30/2016 12:00:00 AM,12/29/2016 12:00:00 AM,993128
A child received an injury that required first aid at the center and later medical care.  The incident was not reported to Child Care Licensing.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,03/24/2016 12:00:00 AM,03/31/2016 12:00:00 AM,1164383
Based on the information obtained there is sufficient evidence to support that the operation failed to report to licensing an injury to a child that required medical attention.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,06/22/2017 12:00:00 AM,07/13/2017 12:00:00 AM,1155027
Based on the information provided there is sufficient evidence to support that a child was injured while in care and the parent took the child to the doctor as a precaution.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,07/21/2017 12:00:00 AM,07/21/2017 12:00:00 AM,1221254
The operation did not inform licensing of a child injured at the operation that required medical treatment.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,12/23/2015 12:00:00 AM,01/08/2016 12:00:00 AM,160426
"A child had an injury that required medical attention. Center did not notify Licensing within 48 hours, as required.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,03/03/2016 12:00:00 AM,03/24/2016 12:00:00 AM,1122725
The operation failed to report two child injuries within the required 48 hour timeframe.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,11/30/2015 12:00:00 AM,,245248
An injury requiring medical treatment was not self reported to licensing within the required time frame.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,09/01/2017 12:00:00 AM,09/13/2017 12:00:00 AM,874628
According to information gathered during interviews it was determined that the operation did not notify licensing of a child injury requiring medical treatment by a professional.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,06/20/2016 12:00:00 AM,06/23/2016 12:00:00 AM,1244813
The operation did not notify licensing after being notified that a child's injury was glued by a medical professional.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,02/07/2017 12:00:00 AM,03/08/2017 12:00:00 AM,1107282
