NARRATIVE,STANDARD_NUMBER_DESCRIPTION,STANDARD_RISK_LEVEL,CORRECTED_DATE,OPERATION_ID
"A young child in care sustained an injury to a vital body area. Due to this child's age and service plan, this child was to be supervised at all times.  The child's caregiver did not witness how the child sustained this injury.  The caregiver allowed the child to play unsupervised in areas of the home.",749.2593(c)(6) - Supervision-Caregivers counted in child/caregiver ratio must implement and follow the children's service plans,Medium High,10/28/2016,269604
The toddler bathroom had a toilet paper holder that needs to be repaired in order to avoid any potential injuries.,"746.3407 - Maintenance of Building, Grounds and Equipment",Medium High,12/22/2017,1262028
On the playground there were two children's barrels which were rusty with broken pieces inside the barrels that could cause injury to a child.      Pictures were taken for the file    Note: This was corrected at inspection when both barrels were removed from the playground.,746.3701 - Safety - Areas Free From Hazards,Medium High,07/11/2016,1116589
"Based on the statements received from operation staff, a two and a half year old child was given permission to go to the restroom but left the restroom without permission from the caregiver present and entered a vacant classroom without supervision. The child was found by operation staff hiding under the tables and chairs of the vacant classroom. The child did not sustain any visible markings or injuries.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,11/03/2017,1117498
"Director needs to ensure that children under their care are supervised properly. Also, director needs to ensure that parents are notified immediately after a child becomes hurt/injured while in their care.",746.1003(1) - Director Responsibilities - Operate in Compliance,High,03/10/2017,392110
Caregiver failed to take child in care for timely medical care/assessment after being assaulted and engaging in sexual contact during a runaway incident. Caregiver waited three days to take the child for medical assessment. The child was diagnosed with sexually transmitted disease.,"749.1401(a)(2) - General medical requirements-A child in care must receive medical care as needed for injury, illness, and pain",High,07/23/2016,348353
"Based on information gathered and interviews conducted, a caregiver indicated that an infant stopped breathing while in care.  The parent was not notified until the evening, after the child was signed out of care.",746.3607(4) - Critical Illness or Injury - Contact Parent,High,12/05/2016,106087
"A caregiver was missing annual training on the following topics: (4) Preventing and responding to emergencies due to food or an allergic reaction; (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and (6) Handling, storing, and disposing of hazardous materials including compliance with ?747.3221 of this title (relating to Must caregivers wear gloves when handling blood or bodily fluids containing blood?).",747.1305(e) - Caregivers Required Annual Training-Required Topics without hour restriction,Medium,01/30/2018,355553
"According to the information received during the investigation, a school-age child was injured while he and another child were misusing a piece of outdoor equipment. It was also determined that the supervising caregiver had told the children several times to stop, but did not intervene by making the children stop and redirecting them to another, more appropriate activity.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,10/31/2016,671368
The director states that the parent informed them that a child was taken for medical treatment due to an injury sustained while in care however the center did not report this to Licensing.    This was CORRECTED AT INSPECTION when the director and staff were counseled regarding the importance of reporting injuries to Licensing.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,10/11/2017,1179658
"RE-CITE: 1 staff records was re-evaluated did not have the orientation training needed for employees hired after September 1, 2016 that covers understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic on file or available for review at the time of inspection.    4 staff records were evaluated and 2 did not have the orientation training needed for employees hired after September 1, 2016 that covers understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic on file or available for review at the time of inspection.",746.1303(b)(3) - Orientation-Building and physical safety,Medium,04/14/2017,1269697
Based on the information obtained there is sufficient evidence to support that the operation failed to report to licensing an injury to a child that required medical attention.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,06/22/2017,1155027
"The records of two caregivers did not include annual training in administering medication, preventing the spread of communicable diseases, including immunizations and understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic.",746.1309(f) - Documented Annual Training- Required Content,Medium,11/27/2017,1257839
"The outdoor play area does not have any surfacing material in the use zone, which can decrease the amount of injuries that may occur.",746.4901(a) - Active Play Surfacing In Use Zones - Loose Fill or Unitary Surfacing,Medium High,04/21/2017,1244230
"The operation did not report an incident to CCL, the incident required medical attention.",746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,01/22/2016,108045
A caregiver did not use good judgment when the caregiver did not prevent another caregiver from abusing a child.     The caregiver did not demonstrate competency when the caregiver did not report the situation until after someone questioned the child's injury.    A caregiver did not use self-control when she swatted a child in line while the children were lining up.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,05/03/2016,324856
During the investigation it was found that a cord of a warming device was accessible to children and was pulled down causing injury to children in care.,746.3701 - Safety - Areas Free From Hazards,Medium High,10/26/2017,1148904
The caregivers did not exercise good judgment when they used personal cell phones to take pictures of a child who was not fully clothed and had a major injury to his lower extremities. The caregivers did not exercise good judgment by sending the pictures to other employees who were not present at the operation at the time of the incident.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,05/24/2017,203286
The air conditioning unit in the backyard is accessible to children with no fencing or barrier to prevent child injury.   (Khong co hang rao can bao chung quanh may lanh o san sau),"747.3501(3) - Safety - Air Conditioners, Fans, Heaters Safeguarded",Medium High,07/15/2016,1189581
Infant was observed to be seated inside bouncer seat which was observed inside infant crib. Bouncer seat posed a safety hazard as infant seat can turn over due to unstable surface inside the crib causing injury to a child. NOTE: This was corrected during inspection as infant was removed from bouncer seat and bouncer seat was removed from the crib.,746.3701 - Safety - Areas Free From Hazards,Medium High,03/30/2016,272856
"Four caregivers were missing Emergency preparedness;     (2) Preventing the spread of communicable diseases, including immunizations;     (3) Administering medication, if applicable, including compliance with ?746.3803 of this title (relating to What authorization must I obtain before administering a medication to a child in my care?);     (4) Preventing and controlling and responding to emergencies due to food or an allergic reaction;    (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and     (6) Handling, storing, and disposing of hazardous materials.",746.1309(f) - Documented Annual Training- Required Content,Medium,07/14/2017,351659
"One outside play equipment had holes within the plastic structure. This created sharp edges that may injury children while playing.    A small children's table was observed to be broken located on the playground.    A bolt is sticking out of the free standing arch equipment located on the playground. The bolt is lacking a safeguard, which presents a hazard to children while climbing on this piece of equipment.    Note: A picture was taken of each piece of equipment.","746.3407 - Maintenance of Building, Grounds and Equipment",Medium High,05/13/2016,1123855
Director and caregiver failed to seek medical attention for the victim which had been in a hot vehicle for approximately an hour.,746.3607(4) - Critical Illness or Injury - Contact Health-Care Professional,Low,12/22/2017,339625
"Based on the information obtained during the investigation, there is sufficient information to suggest that the operation did not contact the child's parent after the child sustained an injury that required medical attention.",746.3607(4) - Critical Illness or Injury - Contact Parent,High,04/18/2016,1095104
This standard was reviewed as part of the self reported allegations and found to be deficient. The form used by the operation to document injuries did not contain all of the required information.,746.603(a)(7) - Children's Records - Incident/Illness Form,Medium,07/14/2017,1271170
The operation did not fill out an incident report after a child  suffered a seizure and required medical attention.,746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,02/17/2017,688313
"Based on serious incident reports, two children sustained 10 accidental injuries and bites by the same child in care in a five month period. Therefore, it was determined that staff did not provide adequate supervision to children in care.",748.685(a)(4) - Caregiver responsibility - providing the level of supervision necessary to ensure each child's safety and well-being,High,08/31/2016,158507
Based off the information obtained during the investigation there is sufficient evidence to suggest proper supervision was not being maintained when a child became injured while in care.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,12/21/2017,325721
A child sustained an injury due to the lack of a caregiver using good judgment.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,12/06/2017,1217141
"The caregiver failed to demonstrate competency when she did not use the available first aid kit when a child became injured on a field trip. The caregiver also did not use good judgment when she allowed a parent volunteer who is not a qualified caregiver to carry the injured child back to the facility, thereby allowing them to be alone with the child.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,06/16/2017,96685
Testimony obtained concludes that a direct staff struck a resident resulting to a minor facial injury.,"748.2303(a) - Corporal Punishment-May not use/threaten corporal punishment, such as hitting/spanking, forced exercise, holding physical position, unproductive work.",High,11/24/2017,94146
Caregiver did not use good judgemnedet when caregiver directed children to climb a kidney table on their own. By allowing children to climb the table there is a possiblility of children falling and sustaining and injury. When the children were observed climbing on and off the table other children were eating and this contributes to cross contamination.,"747.1501(b) - Responsibilities of Caregivers-Report Suspected Child Abuse, Neglect or Exploitation to DFPS Or Law Enforcement",High,09/23/2016,513749
"A child in care was attacked by a dog, sustaining serious injury.","749.2593(b)(4) - Supervision-When supervising a child, a caregiver must take into account the surrounding circumstances, hazards, and risks",Medium High,08/19/2016,269604
"Orientation training for a caregiver hired on 11.14.16 is lacking the following:  (1) Administering medication, (2) Preventing and responding to emergencies due to food or an allergic reaction;  (3) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury;  (4) Handling, storing, and disposing of hazardous materials including compliance with ?746.3425; and (5) Precautions in transporting children if your center transports a child whose chronological or developmental age is younger than nine years old.",746.1303(a)(1) - Orientation-Minimum Standards,Medium High,07/04/2017,1243995
"The air conditioner located in the backyard, which will be accessible to the children, is not safeguarded to prevent injury to a child. Note: A picture was taken of the air conditioner.","747.3501(3) - Safety - Air Conditioners, Fans, Heaters Safeguarded",Medium High,08/02/2016,1251697
"A child fell during play at the daycare and injured his wrist.  Daycare staff felt it was not serious.  His parent or guardian was not informed of the injury at pick up time.  It was later learned that the wrist was broken.  This was corrected when the center director met with staff and went over the difference between an injury that just requires an ""ouch report"" given at the end of the day and a more serous injury that needs to be communicated to parents immediately.",744.307(a)(1) - Parental Communication - Treatment by Health Personnel,Medium High,07/13/2016,1040708
A child in care was restrained in the restroom and injured her wrist.,748.2551(b)(3) - EBI Implementation-The caregiver must consider the potential risk of harm in using EBI versus the risk of not using EBI,High,12/22/2017,1252288
It was determined that a child in care required medical attention on multiple occasions due to objects (rocks) being stuck in the child's ear and this was not reported to Licensing.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,06/06/2017,232432
The air conditioner in the playground did not have safeguards that keep any child from being injured.    May lanh san sau khong co rao bao ve tranh cac em bi thuong.,747.3501 - Safety - Areas Free From Hazards,Medium High,09/19/2017,1289633
During an inspection it was found that the operation did not write an incident report for a child being injured in care who required medical treatment.  This was corrected at inspection when the report was written.,746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,04/18/2016,1149177
There was no verbal communication between staff and parent of a child who received an injury. The injury did not seem serious at first and then became an injury that required medical care.  Staff should have informed parent about it at least verbally when parent came to pick up child.,744.307(b) - Parental Notification of Less Serious Injuries,Medium,11/28/2016,1255414
A serious incident was not reported within the required timeframes.,749.503(a)(2)(A) - Serious Incident-Report to Licensing critical injury or illness that warrants treatment by a medical professional/hospitalization,Medium High,03/17/2017,1171602
"child in care was taken to the emergency room on 1/20/17, discharged and then admitted to the hospital on 1/21/17 for the same condition. This serious incident was not reported to licensing until 1/23/17 by the agency.",749.503(a)(2)(A) - Serious Incident-Report to Licensing critical injury or illness that warrants treatment by a medical professional/hospitalization,Medium High,01/27/2017,95720
"Procedures were evaluated and incident reports were reviewed. Interviews were also conducted with caregivers.     It was determined that at times, due to a breakdown of operation procedures, parents are not given incident reports at pick up time.",746.307(b) - Parental Notification of Less Serious Injuries,Medium,03/11/2016,1093628
"The director was missing training in the following topics:    (1) Emergency preparedness;     (2) Preventing and controlling the spread of communicable diseases, including immunizations;     (3) Administering medication, if applicable, including compliance with ?746.3803 of this title (relating to What authorization must I obtain before administering a medication to a child in my care?);     (4) Preventing and responding to emergencies due to food or an allergic reaction;     (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and X    (6) Handling, storing, and disposing of hazardous materials including compliance with ?746.3425 of this title (relating to Must caregivers wear gloves when handling blood or bodily fluids containing blood?).",746.1311(f) - Director Annual Training - Additional required topics,Medium,12/26/2017,159864
"Two of the caregivers did not have the required trainings as follows: emergency preparedness, preventing the spread of communicable diseases, including immunizations, preventing and controlling and responding to emergencies due to food or an allergic reaction,  understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and  handling, storing, and disposing of hazardous materials including compliance with ?746.3425 of this title (relating to Must caregivers wear gloves when handling blood or bodily fluids containing blood?).",746.1309(f) - Documented Annual Training- Required Content,Medium,12/18/2017,952508
Supervision did not appear to be appropriate at the time of the child's injury.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,03/04/2016,94693
"Based on information obtained, a caregiver failed to use good judgment when supervising children that led to a child sustaining an injury that required medical attention.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,11/30/2016,162125
"Observed a cabinet with a broken drawer and broken door in the Multi-Purpose room.     Observed doors without door knobs leaving the door loose and unsecured. Rooms that need knobs: Toddler II and Infant classroom.     Observed a cracked/broken step on the staircase leading from the buiding to the main playground area. This may cause an injury if a child were to step into damaged area causing a twist to anke or foot.     Observed a hole in the ground approximately 12 inches in diameter and 3 inches deep in the main playground area which may cause an injury if a child were to fall into or trip over while playing, walking or running.",746.3701 - Safety - Areas Free From Hazards,Medium High,08/26/2016,1253079
This standard was evaluated in regards to an investigation and was found to be deficient.  A caregiver did not physically intervene when children were playing with a ball indoors.  Consequently a child fell during the activity and sustained an injury that required medical attention.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,01/01/2018,692588
Based on information obtained during the course of the investigation this standard has been found to be deficient. A child was injured while in care due to the improper use of equipment. The caregiver in the classroom was seen not having visual nor auditory awareness of what was going on around her.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,11/27/2017,573548
Based on the evidence obtained during the investigation a caregiver failed to use good judgment while providing discipline to a child in care causing injury to the child.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,04/21/2016,98410
"Two of the four employee files reviewed were missing training in the following topics:    (1) Emergency preparedness;     (2) Preventing the spread of communicable diseases, including immunizations;     (3) Administering medication, if applicable, including compliance with ?746.3803 of this title (relating to What authorization must I obtain before administering a medication to a child in my care?);     (4) Preventing and controlling and responding to emergencies due to food or an allergic reaction;    (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and     (6) Handling, storing, and disposing of hazardous materials including compliance with ?746.3425 of this title (relating to Must caregivers wear gloves when handling blood or bodily fluids containing blood?).",746.1309(f) - Documented Annual Training- Required Content,Medium,10/26/2017,1185200
The fence in the backyard on the west side of the yard has nails sticking out of it which could cause injury to a child.  The fence is falling over and needs to be stabilized.,747.3501 - Safety - Areas Free From Hazards,Medium High,04/19/2016,896213
Caregiver did not know of  each child's activities and was not within proximity to prevent injury.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,03/01/2017,622308
"The new topics of orientation for a caregiver hired on 5/ 17/2017 were not available for review. The topics of orientation that were missing were the following: Administering medication, if applicable, including compliance with ?746.3803 of this title (relating to What authorization must I obtain before administering a medication to a child in my care?); (2) Preventing and responding to emergencies due to food or an allergic reaction; (3) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; (4) Handling, storing, and disposing of hazardous materials including compliance with ?746.3425 of this title (relating to Must caregivers wear gloves when handling blood or bodily fluids containing blood?); and  (5) Precautions in transporting children if your center transports a child whose chronological or developmental age is younger than nine years old.",746.1301(1) - Training Requirements for Employees and Caregivers - Orientation,Low,10/04/2017,356920
"The director was lacking the additional required topics in the following areas:(1) Emergency preparedness;   (2) Preventing and controlling the spread of communicable diseases, including immunizations; (3) Administering medication, if applicable, including compliance with ?746.3803 of this title (relating to What authorization must I obtain before administering a medication to a child in my care?);(4) Preventing and responding to emergencies due to food or an allergic reaction; (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and (6) Handling, storing, and disposing of hazardous materials including compliance with ?746.3425 of this title (relating to Must caregivers wear gloves when handling blood or bodily fluids containing blood?).",746.1311(f) - Director Annual Training - Additional required topics,Medium,09/27/2017,1014815
"During the investigation it was found that a child in care sustained a burn to their hand.  The child's service plan stated that the caregiver was to have line of sigh supervision at all times; however, the caregiver was unable to account for how the child sustained the injury.",749.2593(a)(2) - Supervision-The caregiver is responsible for being aware of and accountable for each child's on-going activity,High,08/11/2017,1106901
A child that exhibited visible signs of  injury as a result of self-harming behaviors was not seen by a medical professional or rendered medical care in accordance with her need.,"748.1531(a)(2) - Medical care-A child in care must receive medical care as needed for injury, illness, and pain",High,06/30/2016,132987
Caregivers were not aware of the injured child until after the injury occurred. Caregivers should be able to see all children in care and be able to intervene when necessary.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,10/31/2017,276776
The operation did not promptly contact the parent when a child received an injury requiring medical care. There was mis-communication with the family after the incident.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,03/03/2016,691948
An infant sustained a lip injury while in care; the parent was not notified of the injury.,746.307(b) - Parental Notification of Less Serious Injuries,Medium,01/06/2017,1105267
Notification to Licensing was not made within two days of injury to child.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,11/18/2016,108007
A caregiver did not use self-control when the caregiver was part of an altercation with another parent.  The adults were yelling and physically fighting with each other.  Both adults obtained injuries.  Children were in close proximity to the altercation.  Children in care heard and saw some of the incident.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,08/24/2017,96579
The operation failed to notify parent or document a bruise found on child while in care.,746.307(b) - Parental Notification of Less Serious Injuries,Medium,08/17/2017,1063088
"The applicant did not have training on: emergency preparedness; preventing and controlling the spread of communicable diseases, including immunizations; administering medication; preventing and responding to emergencies due to food and allergic reaction; understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and handling, storing, and disposing of hazardous materials.",747.1007(6) - Primary Caregiver in a Registered Home Qualifications-Proof of Training in Required Topics (A-J),Medium High,03/31/2017,1272174
"Based on the information gathered during this investigation, operation did not notify licensing of an incident involving a child injury that required medical attention by a health care professional on 2013.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,11/16/2016,1111390
This standard was evaluated and found to be deficient. An incident putting a child at risk for injury was observed and documented but was not disclosed to the parents involved. An incident report was never completed by the staff or director for notification purposes but the incident was documented in a classroom notebook by the caregiver.,746.707 - Incident/Illness Report Form Shared with Parent,Medium,10/20/2016,95227
The center did not make a report within the required 48 hour time limit. The director was made aware that a child was injured on 02/05/16. The director made the report on 02/09/16. The director is aware of the time frames and made the report to clear the deficiency.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,02/09/2016,99864
"The caregiver has not have any of following trainings to meet the qualifications of the primary caregiver of a registered child-care home :      (A) Recognizing and preventing shaken baby syndrome and abusive head trauma;      (B) Understanding and using safe sleep practices and preventing sudden infant death syndrome (SIDS);        (C) Understanding early childhood brain development;        (D) Emergency preparedness;        (E) Preventing and controlling the spread of communicable diseases, including immunizations;        (F) Administering medication, if applicable, including compliance with ?747.3603 of this title (relating to What authorization must I obtain before administering a medication to a child in my care?);        (G) Preventing and responding to emergencies due to food and allergic reaction;        (H) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic;        (I) Handling, storing, and disposing of hazardous materials including compliance with ?747.3221 of this title (relating to Must caregivers wear gloves when handling blood or bodily fluids containing blood?);       and  (J) Precautions in transporting children if your child-care home plans to transport a child whose chronological or developmental age is younger than nine years old.    Nguoi cham soc tre chua co nhung huan luyen liet ke tren de dat dung tieu chuan nguoi cham soc tre tai gia.",747.1007(6) - Primary Caregiver in a Registered Home Qualifications-Proof of Training in Required Topics (A-J),Medium High,03/17/2017,1272732
A caregiver did not use good judgment when they picked a young child up by one arm and moved them to their nap mat. This type of movements can cause injuries to a child.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,03/28/2016,1220178
"The primary caregiver did not have proof of training in the following: (A) recognizing and preventing shaken baby syndrome and abusive head trauma; (B) understanding and using safe sleep practices and preventing sudden infant death syndrome (SIDS); (C) understanding early childhood brain development; (D) emergency preparedness; (E) preventing the spread of communicable diseases, including immunizations; (F) administering medication; (G) preventing and responding to emergencies due to food and allergic reaction; (H) understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and (I) handling, storing, and disposing of hazardous materials.",747.1107(a)(5) - Primary Caregiver in Licensed Home Qualifications - Proof of Training (A-J),Medium High,04/17/2017,1273158
"A child taking anti psychotic and anti depression medications did not recieve medical attention immediately following a suicidal gesture.     This deficiency was corrected at time of Inspection, while the child did not immediately recieve medical attention on 2/17/16, he was taken to be evaluated the afternoon of 2/18/16.","748.1531(a)(2) - Medical care-A child in care must receive medical care as needed for injury, illness, and pain",High,02/19/2016,445679
The operation did not report an incident from late 2016 in which a child received a hand injury that required medical attention and notification to Licensing.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,05/15/2017,100830
"There were 12 children on the field trip to McDonalds on the day a child was injured there and only one caregiver supervising.  When the age of the youngest child is 5 years old, there should be no more than 10 children supervised by one caregiver.",746.1801(a) - Child/Caregiver Ratio for Field Trips - Areas Open to General Public,Medium High,03/11/2016,1139896
"Information obtained revealed that caregivers were aware of an injury that may have required medical attention, however did not notify parent immediately.",746.307(a)(1) - Parental Communication - Treatment by Health Personnel,Medium High,09/30/2016,1128286
The air conditioner in the backyard did not have safeguards that keep any child from being injured.     May lanh san sau khong co rao chan bao ve cac em khong bi tuong tich.,"747.3501(3) - Safety - Air Conditioners, Fans, Heaters Safeguarded",Medium High,10/30/2017,488850
"Based on the information obtained during the investigation, the operation has been found to be deficient.  There have been repeated occurrences of children being injured while in care or repeated patterns of behavior that  has lead to injuries under the supervision of caregivers.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,09/16/2016,236468
"Records for staff were reviewed. There are 10 staff employed and five records were reviewed. The Director did not have the additional required trainings:  (1) Emergency preparedness;  (2) Preventing and controlling the spread of communicable diseases, including immunizations;  (3) Administering medication  (4) Preventing and responding to emergencies due to food or an allergic reaction;  (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and  (6) Handling, storing, and disposing of hazardous materials",746.1311(f) - Director Annual Training - Additional required topics,Medium,04/24/2017,312032
Upon investigation it was found a caregiver demonstrated poor judgment by moving a child with a head injury rather than waiting for emergency medical services.,"744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,05/12/2017,604108
During an inspection it was verified that the opereration is not using incident reports when children have minor injuries or accidents.,746.701(2) - Licensing Incident/Illness Report Form - Situations Placing Children at Risk,Medium,11/04/2016,96524
An injury to a child requiring medical attention was not reported to licensing in the 24 hour timeframe.    Corrected at Inspection: The incident has been reported and the child has recieved medical attention and followups.,748.303(a)(2)(A) - Serious Incident-Report to Licensing no later than 24 hours after injury/illness that warrants treatment by a medical professional or hospitalization,Medium High,02/22/2016,107290
A child sustained a large knot on his forehead and the teacher did not know how it happened.  She stated he may have fallen while she had her back turned changing a diaper but she didn't know and was unaware that he had an injury until his mother arrived to pick him up.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,03/23/2016,96452
The unitary surfacing under a play structure is hard and compact. It would not suffiiciently absorb the shock of a fall and result in more serious injuries.,746.4911(a) - Installation of Unitary Surfacing Materials - to Manufacturer's Specifications,Medium High,06/27/2017,1280409
The caregiver did not demonstrate good judgment when first aid was not administered to a child's injury.  The caregiver did not share the child's injury with the site director before the caregiver left for the day.  There fore the child's parents were not informed of the child's injury.  The child's finger was visibly injured.,"744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,04/20/2017,721728
This standard was reviewed in relation to the reported allegations and found to be deficient. Through interviews and the review of documentation the injury was not reported within the required time frame by the operation.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,11/06/2017,1284216
The incident report form that the operation used to document the incident did not contain the same information as the licensing form and the licensing form was not created within the required time frame.,746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,04/12/2016,996748
This standard was reviewed as part of an investigation and found to be deficient.  A caregiver neglected children in care when the vehicle she was driving was involved in a car accident. The caregiver reached for a cell phone while driving which caused an accident where children were injured.,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",High,12/22/2017,1135404
"It was determined after the investigation that the caregiver did not use good judgment when she left hot coffee in the reach of a child, which resulted in the child being injured.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,11/16/2016,321171
,748.303(a)(2)(A) - Serious Incident-Report to Licensing no later than 24 hours after injury/illness that warrants treatment by a medical professional or hospitalization,Medium High,01/09/2017,94172
"This standard was evaluated in relation to the self reported information and found to be deficient. Medical treatment was sought for a child on 4-3-17, a representative of the operation reported this o Licensing on 4-10-17.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,05/08/2017,1250238
The operation did not notify licensing after being notified that a child's injury was glued by a medical professional.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,02/07/2017,1107282
The caregiver completed an unnecessary act when she grabbed the child by his face in an attempt to remove from his mouth. She also used excessive force causing an injury.,"749.1957(1) - Other Prohibited Discipline-Any harsh, cruel, unusual, unnecessary, demeaning, or humiliating discipline or punishment",High,07/06/2017,95689
"The annual training of the director did not include training in the following topics:  Administering medication, if applicable, including compliance with ?746.3803 of this title (relating to What authorization must I obtain before administering a medication to a child in my care?);  Preventing and responding to emergencies due to food or an allergic reaction;  Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and  Handling, storing, and disposing of hazardous materials.",746.1311(f) - Director Annual Training - Additional required topics,Medium,08/08/2017,447548
A child in care received multiple bruises. The explanation provided was that the child was spanked.,"749.1003(b)(1)(B) - Children's rights-Safety & care including right to be free from abuse, neglect and exploitation",High,09/13/2017,954778
"There was no proof of training in the required topics at the time of inspection.  Topics inlcude:   (A) Recognizing and preventing shaken baby syndrome and abusive head trauma;  (B) Understanding and using safe sleep practices and preventing sudden infant death syndrome (SIDS);  (C) Understanding early childhood brain development;  (D) Emergency preparedness;  (E) Preventing and controlling the spread of communicable diseases, including immunizations;  (G) Preventing and responding to emergencies due to food or an allergic reaction;  (H) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic;  (I) Handling, storing, and disposing of hazardous materials including compliance with ?747.3221 of this title (relating to Must caregivers wear gloves when handling blood or bodily fluids containing blood?).",747.1007(7) - Primary Caregiver in a Registered Home Qualifications-Proof of Training in Required Topics (A-J),Medium High,12/15/2017,1293657
A child was schedule to follow up within 1-2 days of an injury. The follow up was not conducted until 10/24/2016.,749.1401(b)(3) - General medical requirements-Child's record must have written record of each medical exam noting follow-up treatment recommendations and appointments,Medium,12/22/2016,855512
"A child was left behind in a vehicle after returning from a field trip.  It is believed he had been in the vehicle for approximately an hour.  The caregivers who found the child described him as sweaty and hot to the touch.  Medical attention was not sought to properly evaluate his health condition for possible heat exhaustion, dehydration, or something more life threatening.",746.3607(1) - Critical Illness or Injury - Contact EMS,High,11/10/2016,1146854
