OPERATION_NAME,LOCATION_ADDRESS,COUNTY,STANDARD_NUMBER_DESCRIPTION,CORRECTED_DATE,NARRATIVE,TECHNICAL_ASSISTANCE_GIVEN,OPERATION_TYPE
Humble Beginners,3713 SAYERS ST  HOUSTON TX- 77026 4735,HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,06/03/2016 12:00:00 AM,Children admitted to being hit on the hand with a pencil or observing others being hit on the hand.,YES,Licensed Center
Little Buzz Kingdom,1001 HIGHWAY 175 W  CRANDALL TX- 75114,KAUFMAN,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",11/03/2016 12:00:00 AM,"Based on information gathered, a caregiver was pushing the head of children in care in a forceful manner. As a result, one of the children in care sustained an injury",NO,Licensed Center
Little Buzz Kingdom,1001 HIGHWAY 175 W  CRANDALL TX- 75114,KAUFMAN,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",11/03/2016 12:00:00 AM,"Based on the information gathered during the course of the investigation, a caregiver was observed pinching a child and pulling their ear.",NO,Licensed Center
Engineers of Tomorrow STEM Preschool,1615 N HAMPTON RD STE 240 DESOTO TX- 75115 2332,DALLAS,"746.2805(8) - Prohibited Punishments -Placing Child in Locked, Dark Room",02/08/2017 12:00:00 AM,A child was placed in a dark small room with the door shut for naptime as a form of punishment because he was restless and could wake up the other children,NO,Licensed Center
Kidz School Daycare Learning Center,10714 W BELLFORT ST  HOUSTON TX- 77099 4749,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",06/13/2016 12:00:00 AM,Based on the information obtained a caregiver did not exercise appropriate disciplining methods when a 'spider roach' was used as a tactic to obtain discipline.,YES,Licensed Center
La Petite Academy,5007 TREASCHWIG RD  SPRING TX- 77373 7556,HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,03/15/2017 12:00:00 AM,Based on information obtained during the investigation a caregiver used her hand to spank a child in care.,YES,Licensed Center
Warm Beginnings & More,11002 EAGLE DR  MONT BELVIEU TX- 77523 7614,CHAMBERS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,08/11/2016 12:00:00 AM,A caregiver at the operation disciplined children inappropriately as she hit children with her hand.,YES,Licensed Center
"Happy Days Day Care, Inc.",115 N UNION AVE  NEW BRAUNFELS TX- 78130 4447,COMAL,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,05/31/2017 12:00:00 AM,"Based on the information obtained during the interviews, a caregiver hit a child on his head and leg with their hand.  However, no injuries were observed.",YES,Licensed Center
"Happy Days Day Care, Inc.",115 N UNION AVE  NEW BRAUNFELS TX- 78130 4447,COMAL,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,02/22/2017 12:00:00 AM,The caregiver used a prohibited method of discipline by striking the child with her hand on the right side of the child's face.,NO,Licensed Center
"Happy Days Day Care, Inc.",115 N UNION AVE  NEW BRAUNFELS TX- 78130 4447,COMAL,"746.2805(8) - Prohibited Punishments -Placing Child in Locked, Dark Room",10/05/2016 12:00:00 AM,Based on the information gathered the caregiver in the four year old classroom is placing children in the bathroom with the door shut and lights out for time out.,YES,Licensed Center
Carmelite Learning Center,2006 MARTIN LUTHER KING DR  SAN ANTONIO TX- 78203 2140,BEXAR,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,02/26/2016 12:00:00 AM,Video footage reviewed indicated that a child was inappropriately disciplined while in care at the operation.,NO,Licensed Center
Mosaic Redwine Child Care Center,5191 S BRYANT BLVD  SAN ANGELO TX- 76904 9561,TOM GREEN,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",11/17/2016 12:00:00 AM,The caregiver admitted to being frustrated and was observed patting a child on the back in harsh manner during naptime. The caregiver was observed tossing children onto their caught and at one point the caregiver was observed forcefully slamming a child onto their caught. The caregiver was also observed pulling a child by their arm.,YES,Licensed Center
Mosaic Redwine Child Care Center,5191 S BRYANT BLVD  SAN ANGELO TX- 76904 9561,TOM GREEN,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",06/08/2017 12:00:00 AM,It was determined that a caregiver grabbed a child by the arm and forced the child into time out.,YES,Licensed Center
A+ Kidz Care Learning Center  LLC,3404 JOHN STOCKBAUER DR  VICTORIA TX- 77901 2925,VICTORIA,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",11/07/2017 12:00:00 AM,"Based on interviews conducted during this investigation, a type of prohibited discipline (pinching) was being used with several children.",YES,Licensed Center
ABC  Preschool,13931 SH 31  TYLER TX- 75709,SMITH,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,02/14/2017 12:00:00 AM,A caregiver admitted to using a large pencil to discipline children.,NO,Licensed Center
Sunrise Early Learning And Development Center,3108 STALCUP RD  FORT WORTH TX- 76119 1550,TARRANT,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",07/05/2017 12:00:00 AM,A caregiver was observed on video pushing and pulling on childrens' arms. The same caregiver was observed pulling on a child's hair. The same caregiver was observed harshly lifting a child and flinging the child by both arms onto a nap mat. The same caregiver was observed using aggressive postures and threatening to hit children with a stick. The events were observed on the same day and occurred over a two hour period. The caregiver was terminated once the director was able to review the video.,YES,Licensed Center
Sunrise Early Learning And Development Center,3108 STALCUP RD  FORT WORTH TX- 76119 1550,TARRANT,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,07/05/2017 12:00:00 AM,"A caregiver was observed hitting children with an open hand on the buttocks and legs several times over a 2 hour period. The same caregiver was observed hitting children with a stick on the buttocks and legs. While the hitting was not hard enough to cause injury, the actions were still prohibited. The caregiver was terminated once the director was able to review video.",YES,Licensed Center
St. Joseph Catholic Early Learning Center,109 N PRESTON AVE  BRYAN TX- 77803 7031,BRAZOS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",04/28/2016 12:00:00 AM,"One caregiver grabbed a child, leaving a bruise on the child's arm, while placing the child in time out.",YES,Licensed Center
Childrens Courtyard,8001 PARKWOOD BLVD  PLANO TX- 75024 5825,COLLIN,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,07/21/2017 12:00:00 AM,A caregiver was observed popping/hitting a child with the hand because they did not go down for nap.,YES,Licensed Center
Childrens Courtyard,8001 PARKWOOD BLVD  PLANO TX- 75024 5825,COLLIN,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,03/30/2017 12:00:00 AM,"Based on information obtained, a caregiver uses inappropriate methods to discipline children.",NO,Licensed Center
Kindercare Custer,6525 CUSTER RD  PLANO TX- 75023 3202,COLLIN,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,05/23/2016 12:00:00 AM,This standard was evaluated in regards to an investigation and was shown deficient.  A caregiver hit a child on the back of the hand when redirecting the child from tearing art work off the wall.,YES,Licensed Center
Claudias Creative Childcare,1301 KENWOOD DR  SAN ANGELO TX- 76903 7261,TOM GREEN,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,02/18/2016 12:00:00 AM,Based on interviews obtained it was determined that a caregiver spanked a child in care to keep the child from climbing on a shelf in the classroom. There were no injuries noted on the child.,YES,Licensed Center
Americas Choice Children Center,10792 BELLAIRE BLVD STE D HOUSTON TX- 77072 2764,HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,08/21/2017 12:00:00 AM,Based on the information gathered during this investigation a toy snake was used to hit one child as a form of discipline.    Note: Caregiver was immediately terminated based on the findings.,YES,Licensed Center
Childcare Network #182,1400 CAPLIN DR  ARLINGTON TX- 76018 1235,TARRANT,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",03/01/2017 12:00:00 AM,A caregiver washed a child in a sink of cold water as a result of defecating on themselves.,NO,Licensed Center
Kinder Care Learning Center 842,110 ROYAL ST  BRYAN TX- 77801 4431,BRAZOS,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",12/12/2017 12:00:00 AM,It is determined that a caregiver used inappropriate discipline when they grabbed a child by the upper left arm leaving a bruise.     The director met with caregivers individually to discuss supervision and discipline policies and practices. The caregiver who used inappropriate discipline was placed on administrative leave pending the outcome of the investigation.,YES,Licensed Center
The Children's Courtyard,8560 ESTERS BLVD  IRVING TX- 75063 2205,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",11/30/2017 12:00:00 AM,"The Department of Family and Protective Services received a report October 9, 2017 alleging abuse of a child at the program to include other allegations regarding a child was inappropriately disciplined while in care. The allegations were invested by the Abuse/Neglect Investigator. The Investigator determined abuse/neglect did not occur, however, the investigator determined that a caregiver was pinching children.",NO,Licensed Center
Stirring Up Gifts Children Center,830 STONYRIDGE ST  CHANNELVIEW TX- 77530 3356,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",09/26/2017 12:00:00 AM,There is sufficient evidence to suggest that prohibited punishments are being used.,YES,Licensed Center
Freedom Elementary - Clayton,5401 WALL PRICE RD  FORT WORTH TX- 76244 7109,TARRANT,"744.2105 - Prohibited Punishments - No Harsh, Cruel or Unusual",06/23/2016 12:00:00 AM,It was determined after the investigation that the caregiver did use inappropriate discipline when she grabbed a child by the arm when he would not give a toy back to another student.  When she grabbed his forearm it did leave a red mark on him but did not break skin and the mark disappeared by the next day.,NO,Licensed Center
Discovery House,105 TERRACE DR  DESOTO TX- 75115 5752,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",07/27/2016 12:00:00 AM,A child received a scratch scratch behind his ear and his was pulled. The child arm was grab and hand was squeezed tightly.,YES,Licensed Center
Discovery House,105 TERRACE DR  DESOTO TX- 75115 5752,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,05/03/2016 12:00:00 AM,"Based on information gathered, it is determined that staff have hit children in care.",NO,Licensed Center
Discovery House,105 TERRACE DR  DESOTO TX- 75115 5752,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",05/03/2016 12:00:00 AM,"Based on information gathered, staff have been observed, grabbing, kicking, pushing and dragging children in care.",NO,Licensed Center
Kids Camp,403 S HILL ST  DECATUR TX- 76234 1924,WISE,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",11/17/2017 12:00:00 AM,This standard was evaluated in regard to an investigation and was found to be out of compliance. A caregiver used harsh punishments when disciplining children. The caregiver extended his hand and bumped a child causing the child to fall on the floor. The same caregiver picked up children and dropped them from the air on a bean bag to place them in time out.,YES,Licensed Center
Plum Creek Head Start,6969 SOUTH LOOP E  HOUSTON TX- 77087 2357,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",01/12/2018 12:00:00 AM,"Based on the information obtained, it is concluded that prohibited punishments have been exhibited by the caregivers to the children that are in care.",YES,Licensed Center
Plum Creek Head Start,6969 SOUTH LOOP E  HOUSTON TX- 77087 2357,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",06/06/2016 12:00:00 AM,"Based on the information obtained a caregiver demonstrated harsh, cruel, or unusual punishments toward a child at the operation. The caregiver lifted and pulled a chair from underneath the child while the child was sitting in the chair resulting in the child falling out of the chair to the floor on his bottom.",YES,Licensed Center
Promise Land Day Care Center,13229 HIGHWAY 105 W  CONROE TX- 77304 1585,MONTGOMERY,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,03/10/2017 12:00:00 AM,"Based on information obtained, there is sufficent evidence to support that a caregiver ""popped"" a child on the hand to discipline the child from not biting.",NO,Licensed Center
Promise Land Day Care Center,13229 HIGHWAY 105 W  CONROE TX- 77304 1585,MONTGOMERY,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,09/11/2017 12:00:00 AM,Interviews were conducted and it was determined that a child was hit by a caregiver while in care.   Note: The caregiver was terminated.,NO,Licensed Center
Childrens Courtyard,1115 W LAMAR BLVD  ARLINGTON TX- 76012 2018,TARRANT,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",10/17/2017 12:00:00 AM,This standard was evaluated as a possible violation of the Minimum Standard Rules and was found to be deficient. The caregiver at the time did use harsh punishment on a child.,NO,Licensed Center
First Baptist Child Development Center and Preschool,709 N LEE AVE  ODESSA TX- 79761 4427,ECTOR,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",05/16/2016 12:00:00 AM,A staff person  used inappropriate discipline by pulling a child's arms.,YES,Licensed Center
Castle Hills Learning Center and Daycare #1,8030 BLANCO RD  SAN ANTONIO TX- 78216 3702,BEXAR,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",06/24/2016 12:00:00 AM,"Based on the information gathered throughout this investigation, it was determined that a caregiver pinched a child's ear as a form of discipline.",YES,Licensed Center
Cambridge Academy,2200 MIDWAY RD  PLANO TX- 75093 8404,COLLIN,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",07/05/2017 12:00:00 AM,It was determined after the investigation and watching the video that the caregiver took a child's arm and pulled it up and behind him to grab a remote control out of his hand.  She also pulled on his shirt to bring him towards her.,NO,Licensed Center
Tots Haven Christian Academy,5216 HELMICK AVE  FORT WORTH TX- 76107 7514,TARRANT,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,08/23/2017 12:00:00 AM,It was determined that a caregiver grabbed a child in care by the wrist leaving an injury.  The child did not want to play on the playground and the caregiver grabbed her by the wrist and pulled her to a different area.,NO,Licensed Center
Ants To Elephants Daycare,16708 PICADILLY CT STE 105 ROUND ROCK TX- 78664 8549,TRAVIS,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",07/06/2016 12:00:00 AM,There is substantial evidence to show that prohibited punishment was used.,YES,Licensed Center
Wee Learn Center,209 E SOUTH ST  LONGVIEW TX- 75601 7440,GREGG,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",05/06/2016 12:00:00 AM,A caregiver was seen on video yanking a child by the arm and kicking a child.,YES,Licensed Center
FVK3 LLC dba The Goddard School,9722 HIGHWAY 90A STE 111 SUGAR LAND TX- 77478 3122,FORT BEND,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,06/20/2016 12:00:00 AM,There is enough evidence to support that a caregiver slapped a child.,NO,Licensed Center
Primrose School of South Plano,1740 CUSTER RD  PLANO TX- 75075 6603,COLLIN,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",04/19/2016 12:00:00 AM,A caregiver stated that she requires children to lift their arms and keep them raised for a length of time for discipline. The caregiver stated that she will require the children to start over if they put their arms down before she allowed it. Another caregiver who has witnessed the punishment stated that the children will sometimes cry during this form of punishment.,YES,Licensed Center
Throne of Grace Learning Center,1812 HANDLEY DR  FORT WORTH TX- 76112 4118,TARRANT,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,04/27/2017 12:00:00 AM,"Five children interviewed stated the director and another caregiver ""whoops"" them with their hand or yellow stick when the children are in trouble.",YES,Licensed Center
Childcare Network #195,6637 OAKLAWN DR  WATAUGA TX- 76148 2334,TARRANT,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",02/08/2016 12:00:00 AM,"This rule was evaluated with regard to an investigation, and has been found to be in violation with the Minimum Standard Rules for Licensed Child Care Centers based on observations made at the operation, review of supporting documentation, and interviews with various staff and children.",YES,Licensed Center
Perfected Praise Child Development Center,3608 SEYMOUR HWY  WICHITA FALLS TX- 76309 1606,WICHITA,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,07/19/2017 12:00:00 AM,Investigation concludes staff members used prohibited punishment to children in care. Children in care were hit by staff members.,YES,Licensed Center
KinderCare Learning Center,2526 WALNUT BEND LN  HOUSTON TX- 77042 3013,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",02/04/2016 12:00:00 AM,"Based on information obtained, there is sufficient evidence to support caregivers are using inappropriate long periods of silence or inactivity,humiliating, ridiculing, rejecting, yelling at children, and subjecting children to harsh, abusive, or profane language.",YES,Licensed Center
KinderCare Learning Center,2526 WALNUT BEND LN  HOUSTON TX- 77042 3013,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",07/28/2016 12:00:00 AM,Based on the information obtained the operation has been found to be deficient.  A caregiver used inappropriate physical contact to redirect children in care.  Information obtained suggest that the caregiver pulled/grabbed children's arms and placed their hand around a child's neck.,YES,Licensed Center
Learning Garden,6672 ANTOINE DR  HOUSTON TX- 77091 1206,HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,11/21/2017 12:00:00 AM,Based on information obtained there is sufficient evidence to support the allegation that a caregiver disciplined a child in care appropriately.    Note: The caregiver is no longer employed at the operation.,NO,Licensed Center
Windcrest Day School and Child Development Center,8101 MIDCROWN DR  WINDCREST TX- 78239 2536,BEXAR,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,03/08/2017 12:00:00 AM,Based on the information gathered two caregivers in the three and four year old classroom  hit at least two children in care with their hands.,YES,Licensed Center
Pecan Valley Child Care Center,4359 GRECO DR  SAN ANTONIO TX- 78222 2726,BEXAR,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",08/18/2017 12:00:00 AM,"Based on the information received, a child was grabbed by the ear when placed in time out.",YES,Licensed Center
Pecan Valley Child Care Center,4359 GRECO DR  SAN ANTONIO TX- 78222 2726,BEXAR,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,08/01/2016 12:00:00 AM,Based upon the evidence gathered during the course of the investigation it was determined that a child was hit with the hand of a caregiver across the face.,YES,Licensed Center
Walnut Grove Child Care,4451 F M 1387  MIDLOTHIAN TX- 76065,ELLIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,07/17/2017 12:00:00 AM,This standard was reviewed due to an investigation and was found to be deficient. The staff member spanked their child while in care.,YES,Licensed Center
Kinder Care Learning Center #942,4040 ACUSHNET DR  CORPUS CHRISTI TX- 78413 2038,NUECES,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",10/19/2017 12:00:00 AM,"Based on information gathered, a caregiver inappropriately disciplined a child when she swatted a child.  Based on  information gathered children were subjected to harsh, abusive, or profane language by a caregiver.    When the operation became aware of the incident and aware of the harsh, abusive, or profane language, the operation terminated the employment of the caregiver.",YES,Licensed Center
Kinder Care Learning Center #942,4040 ACUSHNET DR  CORPUS CHRISTI TX- 78413 2038,NUECES,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",09/16/2016 12:00:00 AM,"Information gathered indicates a caregiver used prohibited punishments including pinching a child and grabbing or pulling children.  There must be no harsh, cruel, or unusual treatment of any child.",YES,Licensed Center
Creative Kids Learning Center,7530 FORNEY RD  DALLAS TX- 75227 2502,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,05/09/2017 12:00:00 AM,"Based on the information received during an investigation, it was identified that a caregiver at the operation has been hitting children at the operation with their hand as a form of punishment. This is a violation of the minimum standards.",YES,Licensed Center
Lollypop Learning Center,3030 LAMAR AVE  PARIS TX- 75460 5014,LAMAR,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,05/20/2016 12:00:00 AM,This standard was reviewed in relation to the reported allegations and found deficient. Based on interviews with operation staff and children it was determined a caregiver is hitting children with a colored stick as a method of discipline.,YES,Licensed Center
KinderCare Learning Center,937 BUNKER HILL RD  HOUSTON TX- 77024 1301,HARRIS,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",08/11/2017 12:00:00 AM,"Based on the information obtained during the investigation, the caregiver did use prohibited punishment on a six year old child.",NO,Licensed Center
First Discoveries Montessori Academy Inc,5200 E HIGHWAY 377  GRANBURY TX- 76049 7730,HOOD,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",10/18/2016 12:00:00 AM,It was determined after the investigation that a caregiver did use inappropriate discipline when children were made to jump up and down for a long periods of time.  Children were also placed in time out when they were picked up and forced on the ground to the point that it hurt a child's tailbone.  It was also confirmed that when a child did not demonstrate the correct sitting posture during timeout that they were repeated force to cross their legs until the desire posture was given.,NO,Licensed Center
First Discoveries Montessori Academy Inc,5200 E HIGHWAY 377  GRANBURY TX- 76049 7730,HOOD,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,10/18/2016 12:00:00 AM,It was determined after the investigation that a caregiver did hit several children with her hand.  It was confirmed that the children were hit on the head or had their hands squeezed or fingers pushed back as a discipline.,YES,Licensed Center
Legacy Learning Center,2214 ACROPOLIS DR  FLOWER MOUND TX- 75028 1842,DENTON,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,05/18/2017 12:00:00 AM,A teacher did spank a child.,NO,Licensed Center
Little Treehouse Early Learning Center #2,8373 CULEBRA RD STE 102B SAN ANTONIO TX- 78251 1890,BEXAR,"746.2805(8) - Prohibited Punishments -Placing Child in Locked, Dark Room",03/17/2017 12:00:00 AM,"It was determined that one caregiver is sometimes placing children alone in a dark room, with the door closed, when they get in trouble.",YES,Licensed Center
Inch Worm Day Care Learning Center,11002 LEOPARD ST  CORPUS CHRISTI TX- 78410 2610,NUECES,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",05/10/2017 12:00:00 AM,There was information gathered through this investigation which supports that the operations director has made a child or children stand in the corners of her office for an unknown length of time as discipline for these children miss behaving or not following the directions given by the caregivers in the preschool classroom.,YES,Licensed Center
Inch Worm Day Care Learning Center,11002 LEOPARD ST  CORPUS CHRISTI TX- 78410 2610,NUECES,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,06/01/2017 12:00:00 AM,Information gathered through the course of this investigation supports the director and staff have been using corporal punishment as a method of discipline at this operation.,YES,Licensed Center
Metro City Kids,107 LANDING BLVD STE J LEAGUE CITY TX- 77573 3461,GALVESTON,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",08/25/2017 12:00:00 AM,"Based on information obtained, there is sufficient evidence to support that a caregiver used prohibited punishment when the caregiver pulled a child by the child's arm and used force when turning the child's head to face the caregiver involved while the caregiver yelled at the child.",YES,Licensed Center
Noahs Ark Preschool and Parents Day Out,4901 LAKE SHORE DR  WACO TX- 76710 1717,MCLENNAN,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,11/06/2017 12:00:00 AM,Evidence gathered supports that a caregiver hit a child with an instrument while in care.,YES,Licensed Center
Mid Cities Scholars,1101 AIRPORT FWY  BEDFORD TX- 76021 5485,TARRANT,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,06/07/2017 12:00:00 AM,A caregiver admitted to pushing a child's head to prevent the child from eating from a container of food the child obtained from the garbage.,YES,Licensed Center
Kids 'R' Kids #4,10708 RANCHSTONE DR  HOUSTON TX- 77064 2642,HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,04/19/2017 12:00:00 AM,"It was alleged that a caregiver hit or smacked a child on the head.  Based on the evidence collected during the investigation, there was  some support for found for the allegation.",NO,Licensed Center
First United Methodist Child Development,1001 W 7TH ST  PLAINVIEW TX- 79072 7701,HALE,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",04/19/2017 12:00:00 AM,It was determined during the investigation a caregiver was placing children in time out for longer than the appropriate amount of time for the child's age.,YES,Licensed Center
Brauchle Elementary School Head Start,8555 BOWENS CROSSING ST  SAN ANTONIO TX- 78250 2700,BEXAR,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",03/21/2017 12:00:00 AM,An NISD teacher that is collaborated to the head start classroom squeezed a child's arm and forced the child to participate in the group activity.,NO,Licensed Center
YWCA Valle Verde Early Learning Academy,919 HUNTER DR  EL PASO TX- 79915 1914,EL PASO,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",04/05/2017 12:00:00 AM,A caregiver used inappropriate discipline with a child.,YES,Licensed Center
YWCA Valle Verde Early Learning Academy,919 HUNTER DR  EL PASO TX- 79915 1914,EL PASO,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",03/23/2016 12:00:00 AM,A caregiver has been using inappropriate discipline with children.,YES,Licensed Center
The Goddard School of Sienna Plantation,6111 SIENNA RANCH RD  MISSOURI CITY TX- 77459 7120,FORT BEND,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",09/07/2016 12:00:00 AM,Based upon the information/documentation obtained there is enough evidence to support that one caregiver used prohibited punishments with a two year old child.,YES,Licensed Center
ABC Child Development Center NO 3,202 W PASADENA BLVD  DEER PARK TX- 77536 4868,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",01/03/2018 12:00:00 AM,Based upon the information provided during the investigation the director used inappropriate discipline against a child in care by pulling the child's ear.,YES,Licensed Center
The Foshee Family House of Tiny Treasures,2323 FRANCIS ST  HOUSTON TX- 77004 4235,HARRIS,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",11/21/2016 12:00:00 AM,Another staff member witnessed a caregiver pinch a child and a child stated to the Licensing worker in the presence of the director that his teacher pinched him.,YES,Licensed Center
Our Kids Treehouse,1106 COLQUITT RD  TERRELL TX- 75160 1424,KAUFMAN,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,01/27/2017 12:00:00 AM,"During the investigation, it was determined that a caregiver at the operation is using prohibited forms of punishment on the children in care",YES,Licensed Center
Westside Baptist Church Christian Academy,802 BELLAIRE BLVD  LEWISVILLE TX- 75067 5856,DENTON,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",03/29/2017 12:00:00 AM,"This standard was evaluated as part of an investigation. It was determined that this standard is deficient. A child was inappropriately disciplined while in care, when a teacher carried her out of the classroom by one arm and one leg.",NO,Licensed Center
Mi Escuelita Preschool at Good Shepherd,4931 BERNAL DR  DALLAS TX- 75212 3326,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",05/08/2017 12:00:00 AM,"This standard was evaluated with regards to an investigation and based on interviews it was found to be a violation. A caregiver inappropriately grabbed children in care. The same caregiver would make or threaten the males in the class to wear dresses or a diaper (made by blankets) if they misbehaved. Also, another caregiver in the class was aware of the incidents and did not report the information in a timely manner.",NO,Licensed Center
Bright Horizons at Nissan,8900 FREEPORT PKWY  IRVING TX- 75063 2409,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,03/09/2017 12:00:00 AM,"Based on information obtained, a caregiver inappropriately disciplined children.",NO,Licensed Center
Primrose School of Pflugerville at Falcon Pointe,17721 COLORADO SAND DR  PFLUGERVILLE TX- 78660,TRAVIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",09/02/2016 12:00:00 AM,During the investigation it was found that a caregiver dragged a child across a carpet while disciplining the child.,YES,Licensed Center
Little Tykes Child Care Center,220 S SHANKS ST  CLUTE TX- 77531 4621,BRAZORIA,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",08/14/2017 12:00:00 AM,Based on the information obtained caregivers restrained (placed their legs on top of another child legs) a child during nap time to prevent the child from kicking the caregivers in the face.,YES,Licensed Center
Small Miracles Child Care Center,2700 S RIGSBEE DR  PLANO TX- 75074 7059,COLLIN,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",04/26/2017 12:00:00 AM,This standard was evaluated as part of an investigation. Based on interviews it was determined that the center is deficient. A caregiver pinched a child in care.,NO,Licensed Center
KinderCare Learning Center,610 EMERALD WOOD DR  AUSTIN TX- 78745 2127,TRAVIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",12/23/2016 12:00:00 AM,"Based on interviews, it is determined that a caregiver used inappropriate discipline with a child in care.",YES,Licensed Center
The Goddard School,2151 KINGSLEY DR  PEARLAND TX- 77584 3790,BRAZORIA,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",06/20/2017 12:00:00 AM,"Based on information obtained during the investigation, there is enough evidence to conclude a caregiver used prohibited harsh  punishments to discipline a child in care.",YES,Licensed Center
